id,common_zh,local_zh,sci,icon,photo_url,photo_path
fish-001,河豚,雞泡,,assets/fish/icons/generated/001.png,,
fish-002,魟魚,魔鬼魚,,assets/fish/icons/generated/002.png,,
fish-003,三角魚,三角魚,,assets/fish/icons/generated/003.png,,
fish-004,三鬚魚,三鬚,,assets/fish/icons/generated/004.png,,
fish-005,九肚魚,九肚魚,,assets/fish/icons/generated/005.png,,
fish-006,咬仔鳚,狗母鳚,,assets/fish/icons/generated/006.png,,
fish-007,四指馬友,馬友,,assets/fish/icons/generated/007.png,,
fish-008,大眼扁頭魚,大眼牛鰍,,assets/fish/icons/generated/008.png,,
fish-009,大頭帶魚,刀魚,,assets/fish/icons/generated/009.png,,
fish-010,大頭黃姑魚,大頭黃花,,assets/fish/icons/generated/010.png,,
fish-011,寶石隆頭魚,寶石青衣,,assets/fish/icons/generated/011.png,,
fish-012,小帶紋石首魚,花石首,,assets/fish/icons/generated/012.png,,
fish-013,岩魚,石狗公仔,,assets/fish/icons/generated/013.png,,
fish-014,斑點石鱸,石鱸,,assets/fish/icons/generated/014.png,,
fish-015,斑點金鼓,金鼓,,assets/fish/icons/generated/015.png,,
fish-016,斑點鱚,花沙鑽,,assets/fish/icons/generated/016.png,,
fish-017,旗魚,劍旗魚,,assets/fish/icons/generated/017.png,,
fish-018,日本真鱸,海鱸,,assets/fish/icons/generated/018.png,,
fish-019,日本馬頭魚,馬頭魚,,assets/fish/icons/generated/019.png,,
fish-020,條紋伏波魚,伏波魚,,assets/fish/icons/generated/020.png,,
fish-021,梭子魚,梭魚,,assets/fish/icons/generated/021.png,,
fish-022,沙甸魚,沙甸,,assets/fish/icons/generated/022.png,,
fish-023,油魚,油甘魚,,assets/fish/icons/generated/023.png,,
fish-024,海鯽,海鯽,,assets/fish/icons/generated/024.png,,
fish-025,海鱔,海鱔,,assets/fish/icons/generated/025.png,,
fish-026,獨角革魨,剝皮魚,,assets/fish/icons/generated/026.png,,
fish-027,白點竹鯊,狗仔鯊,,assets/fish/icons/generated/027.png,,
fish-028,皇帝魚,皇帝魚,,assets/fish/icons/generated/028.png,,
fish-029,短吻飛魚,飛魚,,assets/fish/icons/generated/029.png,,
fish-030,石首魚,石首,,assets/fish/icons/generated/030.png,,
fish-031,窄帶馬鮫,馬鮫,,assets/fish/icons/generated/031.png,,
fish-032,紅魔鬼岩魚,紅魔鬼,,assets/fish/icons/generated/032.png,,
fish-033,羊魚,鬚鯛,,assets/fish/icons/generated/033.png,,
fish-034,羊魚（鬚）,鬚羊魚,,assets/fish/icons/generated/034.png,,
fish-035,花生魚,花生魚,,assets/fish/icons/generated/035.png,,
fish-036,花鰹,花煙,,assets/fish/icons/generated/036.png,,
fish-037,蛋斑隆頭魚,青衣,,assets/fish/icons/generated/037.png,,
fish-038,角聲魚,角聲,,assets/fish/icons/generated/038.png,,
fish-039,豹紋珊瑚鱸,東星斑,,assets/fish/icons/generated/039.png,,
fish-040,連米銀腹魚,連米魚,,assets/fish/icons/generated/040.png,,
fish-041,里夫黃姑魚,花黃姑,,assets/fish/icons/generated/041.png,,
fish-042,金目鱸,金目鱸,,assets/fish/icons/generated/042.png,,
fish-043,金線馬頭魚,紅衫馬頭,,assets/fish/icons/generated/043.png,,
fish-044,銀鯡,鯡魚,,assets/fish/icons/generated/044.png,,
fish-045,銀鯧,白鯧,,assets/fish/icons/generated/045.png,,
fish-046,銀鱚,沙鑽,,assets/fish/icons/generated/046.png,,
fish-047,青鱗小沙丁,青鱗沙甸,,assets/fish/icons/generated/047.png,,
fish-048,髭尾扁頭魚,牛鰍魚,,assets/fish/icons/generated/048.png,,
fish-049,鮣魚,貼魚,,assets/fish/icons/generated/049.png,,
fish-050,鯷魚,鯷仔,,assets/fish/icons/generated/050.png,,
fish-051,鰶魚,鰶魚,,assets/fish/icons/generated/051.png,,
fish-052,黃姑魚,黃花魚,,assets/fish/icons/generated/052.png,,
fish-053,黃甲魚,黃甲,,assets/fish/icons/generated/053.png,,
fish-054,黑帶金鼓,黑帶金鼓,,assets/fish/icons/generated/054.png,,
fish-055,黑邊銀鯽,黑邊銀鯽,,assets/fish/icons/generated/055.png,,
fish-056,黑鯧,黑鯧,,assets/fish/icons/generated/056.png,,
fish-057,鼠尾隆頭魚,老鼠斑衣,,assets/fish/icons/generated/057.png,,
fish-058,龍舟魚,龍舟,,assets/fish/icons/generated/058.png,,
fish-059,半嘴魚,半嘴,,assets/fish/icons/generated/059.png,,
fish-060,針魚,針魚,,assets/fish/icons/generated/060.png,,
fish-061,青針魚,青針,,assets/fish/icons/generated/061.png,,
fish-062,比目魚,左口魚,,assets/fish/icons/generated/062.png,,
fish-063,海鯰,海塘蝨,,assets/fish/icons/generated/063.png,,
fish-064,大鱗烏頭,大眼烏頭,,assets/fish/icons/generated/064.png,,
fish-065,彈塗魚,彈塗,,assets/fish/icons/generated/065.png,,
fish-066,灰烏頭,烏頭,,assets/fish/icons/generated/066.png,,
fish-067,狗母魚,狗母,,assets/fish/icons/generated/067.png,,
fish-068,花狗母魚,花狗母,,assets/fish/icons/generated/068.png,,
fish-069,鰕虎魚,狗公魚,,assets/fish/icons/generated/069.png,,
fish-070,鰻尾鯰,海塘蝨,,assets/fish/icons/generated/070.png,,
fish-071,康吉鰻,星鰻,,assets/fish/icons/generated/071.png,,
fish-072,獅子魚,火魚,,assets/fish/icons/generated/072.png,,
fish-073,石頭魚,石狗公,,assets/fish/icons/generated/073.png,,
fish-074,蠍子魚,蠍子魚,,assets/fish/icons/generated/074.png,,
fish-075,橙點石斑,紅斑,,assets/fish/icons/generated/075.png,,
fish-076,芝麻石斑,芝麻斑,,assets/fish/icons/generated/076.png,,
fish-077,花頭石斑,花頭斑,,assets/fish/icons/generated/077.png,,
fish-078,香港石斑,青斑,,assets/fish/icons/generated/078.png,,
fish-079,馬拉巴石斑,老虎斑,,assets/fish/icons/generated/079.png,,
