id,num,common_zh,local_zh,icon,query_en,wiki_title,photo_url,photo_path
fish-001,001,河豚,雞泡,assets/fish/icons/generated/001.png,,,,
fish-002,002,魟魚,魔鬼魚,assets/fish/icons/generated/002.png,,,,
fish-003,003,三角魚,三角魚,assets/fish/icons/generated/003.png,,,,
fish-004,004,三鬚魚,三鬚,assets/fish/icons/generated/004.png,,,,
fish-005,005,九肚魚,九肚魚,assets/fish/icons/generated/005.png,,,,
fish-006,006,咬仔鳚,狗母鳚,assets/fish/icons/generated/006.png,,,,
fish-007,007,四指馬友,馬友,assets/fish/icons/generated/007.png,,,,
fish-008,008,大眼扁頭魚,大眼牛鰍,assets/fish/icons/generated/008.png,,,,
fish-009,009,大頭帶魚,刀魚,assets/fish/icons/generated/009.png,,,,
fish-010,010,大頭黃姑魚,大頭黃花,assets/fish/icons/generated/010.png,,,,
fish-011,011,寶石隆頭魚,寶石青衣,assets/fish/icons/generated/011.png,,,,
fish-012,012,小帶紋石首魚,花石首,assets/fish/icons/generated/012.png,,,,
fish-013,013,岩魚,石狗公仔,assets/fish/icons/generated/013.png,,,,
fish-014,014,斑點石鱸,石鱸,assets/fish/icons/generated/014.png,,,,
fish-015,015,斑點金鼓,金鼓,assets/fish/icons/generated/015.png,,,,
fish-016,016,斑點鱚,花沙鑽,assets/fish/icons/generated/016.png,,,,
fish-017,017,旗魚,劍旗魚,assets/fish/icons/generated/017.png,,,,
fish-018,018,日本真鱸,海鱸,assets/fish/icons/generated/018.png,,,,
fish-019,019,日本馬頭魚,馬頭魚,assets/fish/icons/generated/019.png,,,,
fish-020,020,條紋伏波魚,伏波魚,assets/fish/icons/generated/020.png,,,,
fish-021,021,梭子魚,梭魚,assets/fish/icons/generated/021.png,,,,
fish-022,022,沙甸魚,沙甸,assets/fish/icons/generated/022.png,,,,
fish-023,023,油魚,油甘魚,assets/fish/icons/generated/023.png,,,,
fish-024,024,海鯽,海鯽,assets/fish/icons/generated/024.png,,,,
fish-025,025,海鱔,海鱔,assets/fish/icons/generated/025.png,,,,
fish-026,026,獨角革魨,剝皮魚,assets/fish/icons/generated/026.png,,,,
fish-027,027,白點竹鯊,狗仔鯊,assets/fish/icons/generated/027.png,,,,
fish-028,028,皇帝魚,皇帝魚,assets/fish/icons/generated/028.png,,,,
fish-029,029,短吻飛魚,飛魚,assets/fish/icons/generated/029.png,,,,
