id,zh,slug,query,scientificName,matchedCommon,iconic,score,status
fish-001,河豚,yellowfin-seabream,yellowfin seabream,Acanthopagrus latus,Yellowfin Seabream,Actinopterygii,25,ok
fish-002,魟魚,black-seabream,black seabream,Spondyliosoma cantharus,Black Seabream,Actinopterygii,25,ok
fish-003,三角魚,goldlined-seabream,goldlined seabream,Rhabdosargus sarba,Tarwhine,Actinopterygii,5,ok
fish-004,三鬚魚,russell-snapper,russell snapper,Lutjanus russellii,Moses' Snapper,Actinopterygii,15,ok
fish-005,九肚魚,mangrove-red-snapper,mangrove red snapper,Lutjanus argentimaculatus,Mangrove Red Snapper,Actinopterygii,35,ok
fish-006,咬仔鳚,johns-snapper,johns snapper,,,,0,missing
fish-007,四指馬友,orange-spotted-grouper,orange spotted grouper,Epinephelus coioides,Goldspotted Rockcod,Actinopterygii,15,ok
fish-008,大眼扁頭魚,malabar-grouper,malabar grouper,Epinephelus malabaricus,Malabar Grouper,Actinopterygii,25,ok
fish-009,大頭帶魚,hong-kong-grouper,hong kong grouper,Epinephelus akaara,Hong Kong Grouper,Actinopterygii,35,ok
fish-010,大頭黃姑魚,leopard-coral-grouper,leopard coral grouper,Plectropomus leopardus,Leopard Coralgrouper,Actinopterygii,35,ok
fish-011,寶石隆頭魚,rabbitfish,rabbitfish,Siganus fuscescens,Dusky Rabbitfish,Actinopterygii,15,ok
fish-012,小帶紋石首魚,spotted-scat,spotted scat,Scatophagus argus,Spotted Scat,Actinopterygii,25,ok
fish-013,岩魚,grey-mullet,grey mullet,Chelon labrosus,Thicklip Grey Mullet,Actinopterygii,25,ok
fish-014,斑點石鱸,large-scale-mullet,large scale mullet,Ellochelon vaigiensis,Squaretail Mullet,Actinopterygii,15,ok
fish-015,斑點金鼓,japanese-seabass,japanese seabass,Lateolabrax japonicus,Japanese Seabass,Actinopterygii,25,ok
fish-016,斑點鱚,barramundi,barramundi,Lates calcarifer,Barramundi,Actinopterygii,15,ok
fish-017,旗魚,fourfinger-threadfin,fourfinger threadfin,Eleutheronema tetradactylum,Fourfinger Threadfin,Actinopterygii,25,ok
fish-018,日本真鱸,largehead-hairtail,largehead hairtail,Trichiurus lepturus,Largehead Hairtail,Actinopterygii,25,ok
fish-019,日本馬頭魚,bartail-flathead,bartail flathead,Platycephalus indicus,Bartail Flathead,Actinopterygii,25,ok
fish-020,條紋伏波魚,bigeye-flathead,bigeye flathead,,,,0,missing
fish-021,梭子魚,lizardfish,lizardfish,Synodus variegatus,Variegated Lizardfish,Actinopterygii,15,ok
fish-022,沙甸魚,bombay-duck,bombay duck,Harpadon nehereus,Bombay Duck,Actinopterygii,25,ok
fish-023,油魚,,,,,,0,missing
fish-024,海鯽,golden-threadfin-bream,golden threadfin bream,Nemipterus virgatus,Golden Threadfin Bream,Actinopterygii,35,ok
fish-025,海鱔,yellow-croaker,yellow croaker,Umbrina roncador,Yellowfin Croaker,Actinopterygii,25,ok
fish-026,獨角革魨,big-head-croaker,big head croaker,Pennahia macrocephala,Big-head Pennah Croaker,Actinopterygii,35,ok
fish-027,白點竹鯊,reeves-croaker,reeves croaker,,,,0,missing
fish-028,皇帝魚,ponyfish,ponyfish,Leiognathus equula,Common Ponyfish,Actinopterygii,15,ok
fish-029,短吻飛魚,orangefin-ponyfish,orangefin ponyfish,Photopectoralis bindus,Orangefin ponyfish,Actinopterygii,25,ok
fish-030,石首魚,golden-trevally,golden trevally,Gnathanodon speciosus,Golden Trevally,Actinopterygii,25,ok
fish-031,窄帶馬鮫,malabar-trevally,malabar trevally,Platycaranx malabaricus,White-spot Trevally,Actinopterygii,15,ok
fish-032,紅魔鬼岩魚,yellowtail-scad,yellowtail scad,Trachurus novaezelandiae,Yellowtail Scad,Actinopterygii,25,ok
fish-033,羊魚,queenfish,queenfish,Scomberoides lysan,Lesser Queenfish,Actinopterygii,15,ok
fish-034,羊魚（鬚）,indian-mackerel,indian mackerel,Rastrelliger kanagurta,Longjaw Mackerel,Actinopterygii,15,ok
