id,zh,en,scientificName,matchedCommon,iconic,score,status
fish-001,河豚,,,,,-1,missing
fish-002,魟魚,,,,,-1,missing
fish-003,三角魚,,,,,-1,missing
fish-004,三鬚魚,,,,,-1,missing
fish-005,九肚魚,,,,,-1,missing
fish-006,咬仔鳚,,,,,-1,missing
fish-007,四指馬友,,,,,-1,missing
fish-008,大眼扁頭魚,,,,,-1,missing
fish-009,大頭帶魚,,,,,-1,missing
fish-010,大頭黃姑魚,,,,,-1,missing
fish-011,寶石隆頭魚,,,,,-1,missing
fish-012,小帶紋石首魚,,,,,-1,missing
fish-013,岩魚,,,,,-1,missing
fish-014,斑點石鱸,,,,,-1,missing
fish-015,斑點金鼓,,,,,-1,missing
fish-016,斑點鱚,,,,,-1,missing
fish-017,旗魚,,,,,-1,missing
fish-018,日本真鱸,,,,,-1,missing
fish-019,日本馬頭魚,,,,,-1,missing
fish-020,條紋伏波魚,,,,,-1,missing
fish-021,梭子魚,,,,,-1,missing
fish-022,沙甸魚,,,,,-1,missing
fish-023,油魚,,,,,-1,missing
fish-024,海鯽,,,,,-1,missing
fish-025,海鱔,,,,,-1,missing
fish-026,獨角革魨,,,,,-1,missing
fish-027,白點竹鯊,,,,,-1,missing
fish-028,皇帝魚,,,,,-1,missing
fish-029,短吻飛魚,,,,,-1,missing
fish-030,石首魚,,,,,-1,missing
fish-031,窄帶馬鮫,,,,,-1,missing
fish-032,紅魔鬼岩魚,,,,,-1,missing
fish-033,羊魚,,,,,-1,missing
fish-034,羊魚（鬚）,,,,,-1,missing
fish-035,花生魚,,,,,-1,missing
fish-036,花鰹,,,,,-1,missing
fish-037,蛋斑隆頭魚,,,,,-1,missing
fish-038,角聲魚,,,,,-1,missing
fish-039,豹紋珊瑚鱸,,,,,-1,missing
fish-040,連米銀腹魚,,,,,-1,missing
fish-041,里夫黃姑魚,,,,,-1,missing
fish-042,金目鱸,,,,,-1,missing
fish-043,金線馬頭魚,,,,,-1,missing
fish-044,銀鯡,,,,,-1,missing
fish-045,銀鯧,,,,,-1,missing
fish-046,銀鱚,,,,,-1,missing
fish-047,青鱗小沙丁,,,,,-1,missing
fish-048,髭尾扁頭魚,,,,,-1,missing
fish-049,鮣魚,,,,,-1,missing
fish-050,鯷魚,,,,,-1,missing
fish-051,鰶魚,,,,,-1,missing
fish-052,黃姑魚,,,,,-1,missing
fish-053,黃甲魚,,,,,-1,missing
fish-054,黑帶金鼓,,,,,-1,missing
fish-055,黑邊銀鯽,,,,,-1,missing
fish-056,黑鯧,,,,,-1,missing
fish-057,鼠尾隆頭魚,,,,,-1,missing
fish-058,龍舟魚,,,,,-1,missing
fish-059,半嘴魚,,,,,-1,missing
fish-060,針魚,,,,,-1,missing
fish-061,青針魚,,,,,-1,missing
fish-062,比目魚,,,,,-1,missing
fish-063,海鯰,,,,,-1,missing
fish-064,大鱗烏頭,,,,,-1,missing
fish-065,彈塗魚,,,,,-1,missing
fish-066,灰烏頭,,,,,-1,missing
fish-067,狗母魚,,,,,-1,missing
fish-068,花狗母魚,,,,,-1,missing
fish-069,鰕虎魚,,,,,-1,missing
fish-070,鰻尾鯰,,,,,-1,missing
fish-071,康吉鰻,,,,,-1,missing
fish-072,獅子魚,,,,,-1,missing
fish-073,石頭魚,,,,,-1,missing
fish-074,蠍子魚,,,,,-1,missing
fish-075,橙點石斑,,,,,-1,missing
fish-076,芝麻石斑,,,,,-1,missing
fish-077,花頭石斑,,,,,-1,missing
fish-078,香港石斑,,,,,-1,missing
fish-079,馬拉巴石斑,,,,,-1,missing
fish-080,黑線石斑,,,,,-1,missing
fish-081,龍膽石斑,,,,,-1,missing
fish-082,箱魨,,,,,-1,missing
fish-083,扳機魚,,,,,-1,missing
fish-084,橙點馬面魨,,,,,-1,missing
fish-085,長帆馬面魨,,,,,-1,missing
fish-086,蝶魚,,,,,-1,missing
fish-087,鸚哥魚,,,,,-1,missing
fish-088,泥鯭,,,,,-1,missing
fish-089,三點雀鯛,,,,,-1,missing
fish-090,天竺鯛,,,,,-1,missing
fish-091,星點笛鯛,,,,,-1,missing
fish-092,橫帶小鯛,,,,,-1,missing
fish-093,沙鯛,,,,,-1,missing
fish-094,油鯛,,,,,-1,missing
fish-095,火焰笛鯛,,,,,-1,missing
fish-096,牙點鯛,,,,,-1,missing
fish-097,白鯛,,,,,-1,missing
fish-098,約翰笛鯛,,,,,-1,missing
fish-099,紅樹笛鯛,,,,,-1,missing
fish-100,紅鯛,,,,,-1,missing
fish-101,羅素笛鯛,,,,,-1,missing
fish-102,赤鯛,,,,,-1,missing
fish-103,金線鯛,,,,,-1,missing
fish-104,金線鯛王,,,,,-1,missing
fish-105,鋸緣雀鯛,,,,,-1,missing
fish-106,雀鯛,,,,,-1,missing
fish-107,馬友鯛,,,,,-1,missing
fish-108,黃尾笛鯛,,,,,-1,missing
fish-109,黃尾雀鯛,,,,,-1,missing
fish-110,黃鰭鯛,,,,,-1,missing
fish-111,黑沙鯛,,,,,-1,missing
fish-112,黑鯛,,,,,-1,missing
fish-113,印度鯖,,,,,-1,missing
fish-114,大眼竹筴魚,,,,,-1,missing
fish-115,大眼竹筴魚王,,,,,-1,missing
fish-116,橙鰭銀腹鯧鰺,,,,,-1,missing
fish-117,紫胸馬加鰆,,,,,-1,missing
fish-118,細鱗竹筴魚,,,,,-1,missing
fish-119,金鰭鰺,,,,,-1,missing
fish-120,銀腹鯧鰺,,,,,-1,missing
fish-121,長尾吞拿,,,,,-1,missing
fish-122,馬拉巴鰺,,,,,-1,missing
fish-123,黃尾擬鰺,,,,,-1,missing
fish-124,黃尾竹筴魚,,,,,-1,missing
fish-125,黃條鰺,,,,,-1,missing
