fish-006	咬仔鳚	johns-snapper
fish-020	條紋伏波魚	bigeye-flathead
fish-023	油魚	
fish-027	白點竹鯊	reeves-croaker
fish-052	黃姑魚	sand-seabream
fish-053	黃甲魚	oil-seabream
fish-054	黑帶金鼓	threadfin-seabream
fish-056	黑鯧	egg-wrasse
fish-057	鼠尾隆頭魚	mouse-wrasse
fish-082	箱魨	tooth-spotted-seabream
fish-083	扳機魚	red-devil-rockfish
fish-084	橙點馬面魨	black-sand-seabream
fish-086	蝶魚	red-seabream-aka
fish-087	鸚哥魚	gold-thread-seabream
fish-089	三點雀鯛	blackline-grouper
fish-090	天竺鯛	yellow-nail
fish-091	星點笛鯛	sesame-grouper
fish-092	橫帶小鯛	flower-head-grouper
fish-099	紅樹笛鯛	goatfish-wrasp
fish-100	紅鯛	croaker-gwak
fish-101	羅素笛鯛	red-three-knife
fish-103	金線鯛	french-threadfin
fish-106	雀鯛	ponyfishes-linmai
fish-107	馬友鯛	peanut-fish
fish-109	黃尾雀鯛	ten-lined-scad
fish-110	黃鰭鯛	three-whisker-fish
fish-111	黑沙鯛	bigeye-pomfret
fish-113	印度鯖	three-spot-damselfish
fish-114	大眼竹筴魚	white-head-wrasse
fish-116	橙鰭銀腹鯧鰺	biting-blenny
fish-118	細鱗竹筴魚	triangle-fish
fish-119	金鰭鰺	dragon-boat-fish
fish-121	長尾吞拿	small-scad-subadult
fish-122	馬拉巴鰺	green-needlefish
fish-123	黃尾擬鰺	flower-lizardfish
fish-124	黃尾竹筴魚	daggertooth-pike-conger
