id,source,suggested_class,reason
003,003_hk-goldlined-seabream.png,common_blue,default
004,004_hk-russell-snapper.png,common_blue,default
006,006_hk-johns-snapper.png,common_blue,default
011,011_hk-rabbitfish.png,common_blue,default
020,020_hk-bigeye-flathead.png,common_blue,default
023,023_hk-japanese-threadfin-bream.png,common_blue,default
029,029_hk-orangefin-ponyfish.png,common_blue,default
035,,common_blue,default
040,040_hk-pufferfish.png,danger_red,keyword:puffer
051,051_hk-red-seabream-local-badge.png,common_blue,default
054,054_hk-threadfin-seabream-local-badge.png,common_blue,default
055,055_hk-small-scad-local-badge.png,small_cyan,keyword:small
058,058_hk-silver-sillago-local-badge.png,common_blue,default
061,061_hk-small-banded-grunter-local-badge.png,small_cyan,keyword:small
068,068_hk-eeltail-catfish-local-badge.png,common_blue,default
089,089_hk-blackline-grouper-local-badge.png,common_blue,default
092,092_hk-flower-head-grouper-local-badge.png,common_blue,default
105,105_hk-oilfish-local-badge.png,high_value_purple,keyword:oilfish
106,,common_blue,default
108,108_hk-gizzard-shad-local-badge.png,common_blue,default
109,109_hk-ten-lined-scad-local-badge.png,common_blue,default
115,115_hk-silver-mojarra-local-badge.png,common_blue,default
117,117_hk-green-wrasse-local-badge.png,common_blue,default
123,123_hk-flower-lizardfish-local-badge.png,common_blue,default
