id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-001,001,河豚,Acanthopagrus latus,assets/fish/icons/generated/001.png,https://inaturalist-open-data.s3.amazonaws.com/photos/41426256/large.jpg,data\fish_audit4\photo_cache\fish-001.jpg,"#F0F0F0,#D01010,#B01010","#B0B090,#B09070,#907050",0.9328,49.89,20.06,29.83,高風險
fish-002,002,魟魚,Spondyliosoma cantharus,assets/fish/icons/generated/002.png,https://inaturalist-open-data.s3.amazonaws.com/photos/531386046/large.jpg,data\fish_audit4\photo_cache\fish-002.jpg,"#D01010,#505050,#901010","#709070,#90B090,#507050",0.9278,26.35,22.86,3.49,中風險
fish-003,003,三角魚,Rhabdosargus sarba,assets/fish/icons/generated/003.png,https://inaturalist-open-data.s3.amazonaws.com/photos/452695506/large.jpeg,data\fish_audit4\photo_cache\fish-003.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#707070,#507070,#505070",0.9913,19.82,11.51,8.31,中風險
fish-004,004,三鬚魚,Lutjanus russellii,assets/fish/icons/generated/004.png,https://inaturalist-open-data.s3.amazonaws.com/photos/83501289/large.jpg,data\fish_audit4\photo_cache\fish-004.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#909090,#B0B0B0,#707070",0.9913,19.63,28.85,9.22,中風險
fish-005,005,九肚魚,Lutjanus argentimaculatus,assets/fish/icons/generated/005.png,https://static.inaturalist.org/photos/224966772/large.jpeg,data\fish_audit4\photo_cache\fish-005.jpg,"#B0F0F0,#70F0F0,#90F0F0","#101010,#303030,#503030",0.9839,17.78,0.00,17.78,高風險
fish-006,006,咬仔鳚,,assets/fish/icons/generated/006.png,https://upload.wikimedia.org/wikipedia/commons/3/30/Tompot_Blenny_AHG1.jpg,data\fish_audit4\photo_cache\fish-006.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#907070,#705050,#909070",0.9819,19.80,22.04,2.24,中風險
fish-007,007,四指馬友,Epinephelus coioides,assets/fish/icons/generated/007.png,https://static.inaturalist.org/photos/421816214/large.jpeg,data\fish_audit4\photo_cache\fish-007.jpg,"#301050,#301070,#D0D0D0","#505050,#303030,#707070",0.7266,44.26,28.19,16.07,中風險
fish-008,008,大眼扁頭魚,Epinephelus malabaricus,assets/fish/icons/generated/008.png,https://static.inaturalist.org/photos/25405443/large.jpg,data\fish_audit4\photo_cache\fish-008.jpg,"#D0B070,#705030,#F0D090","#303030,#101010,#505030",0.8043,37.93,27.97,9.96,中風險
fish-009,009,大頭帶魚,Epinephelus akaara,assets/fish/icons/generated/009.png,https://static.inaturalist.org/photos/67181260/large.jpeg,data\fish_audit4\photo_cache\fish-009.jpg,"#101030,#101010,#F0F0F0","#30F0B0,#30F090,#50F0B0",0.9919,55.47,3.83,51.64,高風險
fish-010,010,大頭黃姑魚,Plectropomus leopardus,assets/fish/icons/generated/010.png,https://inaturalist-open-data.s3.amazonaws.com/photos/368379613/large.jpg,data\fish_audit4\photo_cache\fish-010.jpg,"#103070,#F0F0F0,#B0B0B0","#101030,#103050,#101010",0.8413,37.88,14.96,22.92,中風險
fish-011,011,寶石隆頭魚,Siganus fuscescens,assets/fish/icons/generated/011.png,https://inaturalist-open-data.s3.amazonaws.com/photos/459084177/large.jpg,data\fish_audit4\photo_cache\fish-011.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#505050,#305050,#303030",0.9872,19.83,8.59,11.24,中風險
fish-012,012,小帶紋石首魚,Scatophagus argus,assets/fish/icons/generated/012.png,https://inaturalist-open-data.s3.amazonaws.com/photos/171540853/large.jpeg,data\fish_audit4\photo_cache\fish-012.jpg,"#F0F0F0,#1070D0,#103050","#303050,#90B0B0,#90B090",0.8784,32.64,30.48,2.16,中風險
fish-013,013,岩魚,Chelon labrosus,assets/fish/icons/generated/013.png,https://inaturalist-open-data.s3.amazonaws.com/photos/162225594/large.jpg,data\fish_audit4\photo_cache\fish-013.jpg,"#F0F0F0,#101010,#301010","#707070,#709070,#909090",0.9975,9.83,3.54,6.29,中風險
fish-014,014,斑點石鱸,Ellochelon vaigiensis,assets/fish/icons/generated/014.png,https://inaturalist-open-data.s3.amazonaws.com/photos/23475092/large.jpeg,data\fish_audit4\photo_cache\fish-014.jpg,"#F0F0F0,#101010,#F0F0D0","#707070,#909090,#907070",0.9300,46.78,15.57,31.20,高風險
fish-015,015,斑點金鼓,Lateolabrax japonicus,assets/fish/icons/generated/015.png,https://static.inaturalist.org/photos/61342151/large.jpg,data\fish_audit4\photo_cache\fish-015.jpg,"#F0F0F0,#1070D0,#105090","#303030,#101010,#503030",0.7972,39.95,8.85,31.11,中風險
