id,num,name,scientificName,risk_color_distance,risk_complexity_gap,photo_source,photo_url,matched_taxon,inat_by_sci,inat_by_zh,inat_by_slug,confidence_score,verdict,reasons
fish-092,92,橫帶小鯛,,0.9945,14.39,inat_obs_fill,https://inaturalist-open-data.s3.amazonaws.com/photos/429002392/large.jpeg,Iniistius melanopus,,,,1,低可信-建議換source,source為iNat
fish-001,1,河豚,Acanthopagrus latus,0.9328,29.83,inat_obs,https://inaturalist-open-data.s3.amazonaws.com/photos/41426256/large.jpg,Acanthopagrus latus,Acanthopagrus latus|Yellowfin Seabream|species|245762,Crassula humbertii||species|1199824,Acanthopagrus latus|Yellowfin Seabream|species|245762,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-014,14,斑點石鱸,Ellochelon vaigiensis,0.9300,31.20,inat_obs,https://inaturalist-open-data.s3.amazonaws.com/photos/23475092/large.jpeg,Ellochelon vaigiensis,Ellochelon vaigiensis|Squaretail Mullet|species|445910,,Ellochelon vaigiensis|Squaretail Mullet|species|445910,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-016,16,斑點鱚,Lates calcarifer,0.9075,43.79,inat_obs,https://inaturalist-open-data.s3.amazonaws.com/photos/185179192/large.jpg,Lates calcarifer,Lates calcarifer|Barramundi|species|47353,,Lates calcarifer|Barramundi|species|47353,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-017,17,旗魚,Eleutheronema tetradactylum,0.9361,40.34,inat_obs,https://inaturalist-open-data.s3.amazonaws.com/photos/5002958/large.jpg,Eleutheronema tetradactylum,Eleutheronema tetradactylum|Fourfinger Threadfin|species|333753,Istiophoridae|Billfishes|family|47542,Eleutheronema tetradactylum|Fourfinger Threadfin|species|333753,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-027,27,白點竹鯊,Chiloscyllium plagiosum,0.9668,38.67,inat_sci_refresh,https://inaturalist-open-data.s3.amazonaws.com/photos/452814206/large.jpeg,Chiloscyllium plagiosum,Chiloscyllium plagiosum|White-spotted Bamboo Shark|species|97440,,,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-035,35,花生魚,Scomberomorus commerson,0.9942,16.28,inat_obs,https://inaturalist-open-data.s3.amazonaws.com/photos/218054923/large.jpg,Scomberomorus commerson,Scomberomorus commerson|Narrow-banded Spanish Mackerel|species|132369,,Scomberomorus commerson|Narrow-banded Spanish Mackerel|species|132369,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-048,48,髭尾扁頭魚,Asterorhombus cocosensis,0.9724,31.83,wikimedia_commons_search,https://upload.wikimedia.org/wikipedia/commons/9/97/Flatfish_%2882546%29.jpg,Asterorhombus cocosensis,Asterorhombus cocosensis|Angler Flatfish|species|529563,,Pleuronectoidei|Flatfishes|suborder|1303751,5,較可信,matched含scientificName；iNat scientificName對上；source為wiki/commons
fish-072,72,獅子魚,Periophthalmus barbarus,0.9101,46.57,inat_slug,https://inaturalist-open-data.s3.amazonaws.com/photos/659481669/large.jpg,Periophthalmus barbarus,Periophthalmus barbarus|Atlantic Mudskipper|species|67836,Ablabys taenianotus|Cockatoo Waspfish|species|121261,Periophthalmus barbarus|Atlantic Mudskipper|species|67836,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-087,87,鸚哥魚,Scarus ghobban,0.9286,28.50,inat_sci_refresh,https://inaturalist-open-data.s3.amazonaws.com/photos/11940430/large.jpg,Scarus ghobban,Scarus ghobban|Blue-barred Parrotfish|species|84175,Labridae|Wrasses and Parrotfishes|family|49284,,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-097,97,白鯛,Sillaginodes punctatus,0.9755,16.52,wiki_summary,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Sillaginodes_punctatus_juvenile.jpg/330px-Sillaginodes_punctatus_juvenile.jpg,Sillaginodes punctatus,Sillaginodes punctatus|King George Whiting|species|321999,Heniochus acuminatus|Longfin Bannerfish|species|102631,Sillaginodes punctatus|King George Whiting|species|321999,5,較可信,matched含scientificName；iNat scientificName對上；source為wiki/commons
fish-105,105,鋸緣雀鯛,Ruvettus pretiosus,0.9772,19.55,inat_slug,https://inaturalist-open-data.s3.amazonaws.com/photos/627420174/large.jpg,Ruvettus pretiosus,Ruvettus pretiosus|Oilfish|species|194885,,Ruvettus pretiosus|Oilfish|species|194885,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
fish-110,110,黃鰭鯛,Acanthopagrus latus,0.9027,35.67,inat_zh_taxon,https://inaturalist-open-data.s3.amazonaws.com/photos/669289807/large.jpg,Acanthopagrus latus,Acanthopagrus latus|Yellowfin Seabream|species|245762,Acanthopagrus latus|Yellowfin Seabream|species|245762,,8,較可信,matched含scientificName；iNat scientificName對上；iNat 中文對上；source為iNat
fish-114,114,大眼竹筴魚,Selar crumenophthalmus,0.9379,30.16,inat_sci_refresh,https://inaturalist-open-data.s3.amazonaws.com/photos/156581317/large.jpg,Selar crumenophthalmus,Selar crumenophthalmus|Bigeye Scad|species|47229,,,6,較可信,matched含scientificName；iNat scientificName對上；source為iNat
