new_id,old_id,fish_name,local_name,status,before_scientificName,after_scientificName_from_old_id,afcdId
001,040,河豚,雞泡,FIXED,'Acanthopagrus latus','Diodon holocanthus','AFCD-040'
002,044,魟魚,魔鬼魚,FIXED,'Spondyliosoma cantharus','Hypanus americanus','AFCD-044'
003,118,三角魚,三角魚,FIXED,'Rhabdosargus sarba',null,'AFCD-118'
004,110,三鬚魚,三鬚,FIXED,'Lutjanus russellii',null,'AFCD-110'
005,022,九肚魚,九肚魚,FIXED,'Lutjanus argentimaculatus','Harpadon nehereus','AFCD-022'
006,116,咬仔鳚,狗母鳚,OK,null,null,'AFCD-116'
007,017,四指馬友,馬友,FIXED,'Epinephelus coioides','Eleutheronema tetradactylum','AFCD-017'
008,020,大眼扁頭魚,大眼牛鰍,FIXED,'Epinephelus malabaricus',null,'AFCD-020'
009,018,大頭帶魚,刀魚,FIXED,'Epinephelus akaara','Trichiurus lepturus','AFCD-018'
010,026,大頭黃姑魚,大頭黃花,FIXED,'Plectropomus leopardus','Pennahia macrocephala','AFCD-026'
011,124,寶石隆頭魚,寶石青衣,FIXED,'Siganus fuscescens',null,'AFCD-124'
012,061,小帶紋石首魚,花石首,FIXED,'Scatophagus argus','Terapon puta','AFCD-061'
013,098,岩魚,石狗公仔,FIXED,'Chelon labrosus','Sebastes caurinus','AFCD-098'
014,094,斑點石鱸,石鱸,FIXED,'Ellochelon vaigiensis','Plectorhinchus flavomaculatus','AFCD-094'
015,012,斑點金鼓,金鼓,FIXED,'Lateolabrax japonicus','Scatophagus argus','AFCD-012'
016,097,斑點鱚,花沙鑽,FIXED,'Lates calcarifer','Sillaginodes punctatus','AFCD-097'
017,088,旗魚,劍旗魚,FIXED,'Eleutheronema tetradactylum','Jordanella floridae','AFCD-088'
018,015,日本真鱸,海鱸,FIXED,'Trichiurus lepturus','Lateolabrax japonicus','AFCD-015'
019,023,日本馬頭魚,馬頭魚,FIXED,'Platycephalus indicus',null,'AFCD-023'
020,115,條紋伏波魚,伏波魚,FIXED,null,'Eucinostomus gula','AFCD-115'
021,065,梭子魚,梭魚,FIXED,'Synodus variegatus','Sphyraena barracuda','AFCD-065'
