new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,photo_url,photo_source,icon_path
001,河豚,雞泡,Diodon holocanthus,其他魚類,圓筒型,,https://inaturalist-open-data.s3.amazonaws.com/photos/6493337/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/001.png
002,魟魚,魔鬼魚,Hypanus americanus,其他魚類,扁平型,,https://inaturalist-open-data.s3.amazonaws.com/photos/5856356/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/002.png
003,三角魚,三角魚,,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/567121483/large.jpg,inaturalist_by_common,assets/fish/icons/generated/003.png
004,三鬚魚,三鬚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/004.png
005,九肚魚,九肚魚,Harpadon nehereus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/22207916/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/005.png
006,咬仔鳚,狗母鳚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/006.png
007,四指馬友,馬友,Eleutheronema tetradactylum,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/5002958/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/007.png
008,大眼扁頭魚,大眼牛鰍,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/008.png
009,大頭帶魚,刀魚,Trichiurus lepturus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/181477483/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/009.png
010,大頭黃姑魚,大頭黃花,Pennahia macrocephala,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/167191195/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/010.png
011,寶石隆頭魚,寶石青衣,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/011.png
012,小帶紋石首魚,花石首,Terapon puta,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/162032088/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/012.png
013,岩魚,石狗公仔,Sebastes caurinus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/117750791/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/013.png
014,斑點石鱸,石鱸,Plectorhinchus flavomaculatus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/241195181/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/014.png
015,斑點金鼓,金鼓,Scatophagus argus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/171540853/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/015.png
016,斑點鱚,花沙鑽,Sillaginodes punctatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/559797868/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/016.png
017,旗魚,劍旗魚,Jordanella floridae,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/39869434/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/017.png
018,日本真鱸,海鱸,Lateolabrax japonicus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/61342151/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/018.png
019,日本馬頭魚,馬頭魚,,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/330972114/large.jpg,inaturalist_by_common,assets/fish/icons/generated/019.png
020,條紋伏波魚,伏波魚,Eucinostomus gula,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/30776419/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/020.png
021,梭子魚,梭魚,Sphyraena barracuda,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/294595913/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/021.png
022,沙甸魚,沙甸,Sardinella aurita,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/126459849/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/022.png
023,油魚,油甘魚,Ruvettus pretiosus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/197034220/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/023.png
024,海鯽,海鯽,Gerres simillimus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/612603181/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/024.png
025,海鱔,海鱔,Gymnothorax undulatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/112702429/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/025.png
026,獨角革魨,剝皮魚,Aluterus monoceros,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/4614108/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/026.png
027,白點竹鯊,狗仔鯊,Chiloscyllium plagiosum,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/452814206/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/027.png
028,皇帝魚,皇帝魚,Scomberoides lysan,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/568300826/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/028.png
029,短吻飛魚,飛魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/029.png
030,石首魚,石首,Helotes octolineatus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/560865392/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/030.png
031,窄帶馬鮫,馬鮫,Scomberomorus commerson,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/218054923/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/031.png
032,紅魔鬼岩魚,紅魔鬼,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/032.png
033,羊魚,鬚鯛,Upeneichthys porosus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/597242015/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/033.png
034,羊魚（鬚）,鬚羊魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/034.png
035,花生魚,花生魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/035.png
036,花鰹,花煙,Euthynnus affinis,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/490499838/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/036.png
037,蛋斑隆頭魚,青衣,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/037.png
038,角聲魚,角聲,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/038.png
039,豹紋珊瑚鱸,東星斑,Plectropomus leopardus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/368379613/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/039.png
040,連米銀腹魚,連米魚,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/040.png
041,里夫黃姑魚,花黃姑,,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/041.png
042,金目鱸,金目鱸,Lates calcarifer,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/185179192/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/042.png
043,金線馬頭魚,紅衫馬頭,Nemipterus virgatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/199294742/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/043.png
044,銀鯡,鯡魚,Gerres subfasciatus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/273254451/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/044.png
045,銀鯧,白鯧,Pampus argenteus,其他魚類,標準紡錘型,,https://static.inaturalist.org/photos/22208601/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/045.png
046,銀鱚,沙鑽,Sillago argentifasciata,其他魚類,標準紡錘型,,,not_found,assets/fish/icons/generated/046.png
047,青鱗小沙丁,青鱗沙甸,,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/430734377/large.jpg,inaturalist_by_common,assets/fish/icons/generated/047.png
048,髭尾扁頭魚,牛鰍魚,Platycephalus indicus,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/610324367/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/048.png
049,鮣魚,貼魚,Remora remora,其他魚類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/114608642/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/049.png
