new_id,commonNameZh,localNameZh,scientificName,query_terms,supplement_url,supplement_source,supplement_title,source_page,status,download_path
004,三鬚魚,三鬚,,三鬚魚 | 三鬚,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Pseudorasbora_parva%28edited_version%29.jpg/960px-Pseudorasbora_parva%28edited_version%29.jpg,wikipedia_zh,鲤科,https://zh.wikipedia.org/wiki/%E9%B2%A4%E7%A7%91,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-004.jpg
006,咬仔鳚,狗母鳚,,咬仔鳚 | 狗母鳚,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Tompot_Blenny_AHG1.jpg/960px-Tompot_Blenny_AHG1.jpg,wikipedia_zh,淺紅副䲁,https://zh.wikipedia.org/wiki/%E6%B7%BA%E7%B4%85%E5%89%AF%E4%B2%81,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-006.jpg
008,大眼扁頭魚,大眼牛鰍,,大眼扁頭魚 | 大眼牛鰍,https://upload.wikimedia.org/wikipedia/commons/7/74/Sicyopterus_fasciatus_Day.png,wikipedia_zh,虾虎鱼科分类表,https://zh.wikipedia.org/wiki/%E8%99%BE%E8%99%8E%E9%B1%BC%E7%A7%91%E5%88%86%E7%B1%BB%E8%A1%A8,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-008.jpg
011,寶石隆頭魚,寶石青衣,,寶石隆頭魚 | 寶石青衣,,,,,not_found,
029,短吻飛魚,飛魚,,短吻飛魚 | 飛魚,,,,,not_found,
032,紅魔鬼岩魚,紅魔鬼,,紅魔鬼岩魚 | 紅魔鬼,,,,,not_found,
034,羊魚（鬚）,鬚羊魚,,羊魚（鬚） | 鬚羊魚,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Capucin_de_vanicolo_%28Mulloidichthys_vanicolensis%29_%28Ifremer_00764-87584%29.jpg/960px-Capucin_de_vanicolo_%28Mulloidichthys_vanicolensis%29_%28Ifremer_00764-87584%29.jpg,wikimedia_commons,File:Capucin de vanicolo (Mulloidichthys vanicolensis) (Ifremer 00764-87584).jpg,https://commons.wikimedia.org/wiki/File%3ACapucin_de_vanicolo_%28Mulloidichthys_vanicolensis%29_%28Ifremer_00764-87584%29.jpg,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-034.jpg
035,花生魚,花生魚,,花生魚,https://upload.wikimedia.org/wikipedia/commons/3/34/Satay-souce-Coriander.jpg,wikipedia_zh,沙茶酱,https://zh.wikipedia.org/wiki/%E6%B2%99%E8%8C%B6%E9%85%B1,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-035.jpg
037,蛋斑隆頭魚,青衣,,蛋斑隆頭魚 | 青衣,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/A_typical_food_set_of_Taiwanese_cuisine.jpg/960px-A_typical_food_set_of_Taiwanese_cuisine.jpg,wikipedia_zh,臺灣料理,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%96%99%E7%90%86,download_error:HTTPError,
038,角聲魚,角聲,,角聲魚 | 角聲,,,,,not_found,
040,連米銀腹魚,連米魚,,連米銀腹魚 | 連米魚,,,,,not_found,
041,里夫黃姑魚,花黃姑,,里夫黃姑魚 | 花黃姑,,,,,not_found,
046,銀鱚,沙鑽,Sillago argentifasciata,銀鱚 | 沙鑽 | Sillago argentifasciata,,,,,not_found,
053,黃甲魚,黃甲,,黃甲魚 | 黃甲,,,,,not_found,
055,黑邊銀鯽,黑邊銀鯽,,黑邊銀鯽,,,,,not_found,
