id,common_zh,local_zh,sci,icon,photo_url,status
fish-001,河豚,雞泡,,assets/fish/icons/generated/001.png,,missing
fish-002,魟魚,魔鬼魚,,assets/fish/icons/generated/002.png,,missing
fish-003,三角魚,三角魚,,assets/fish/icons/generated/003.png,,missing
fish-004,三鬚魚,三鬚,,assets/fish/icons/generated/004.png,,missing
fish-005,九肚魚,九肚魚,,assets/fish/icons/generated/005.png,,missing
fish-006,咬仔鳚,狗母鳚,,assets/fish/icons/generated/006.png,,missing
fish-007,四指馬友,馬友,,assets/fish/icons/generated/007.png,,missing
fish-008,大眼扁頭魚,大眼牛鰍,,assets/fish/icons/generated/008.png,,missing
fish-009,大頭帶魚,刀魚,,assets/fish/icons/generated/009.png,,missing
fish-010,大頭黃姑魚,大頭黃花,,assets/fish/icons/generated/010.png,,missing
fish-011,寶石隆頭魚,寶石青衣,,assets/fish/icons/generated/011.png,,missing
fish-012,小帶紋石首魚,花石首,,assets/fish/icons/generated/012.png,,missing
fish-013,岩魚,石狗公仔,,assets/fish/icons/generated/013.png,,missing
fish-014,斑點石鱸,石鱸,,assets/fish/icons/generated/014.png,,missing
fish-015,斑點金鼓,金鼓,,assets/fish/icons/generated/015.png,,missing
fish-016,斑點鱚,花沙鑽,,assets/fish/icons/generated/016.png,,missing
fish-017,旗魚,劍旗魚,,assets/fish/icons/generated/017.png,,missing
fish-018,日本真鱸,海鱸,,assets/fish/icons/generated/018.png,,missing
fish-019,日本馬頭魚,馬頭魚,,assets/fish/icons/generated/019.png,,missing
fish-020,條紋伏波魚,伏波魚,,assets/fish/icons/generated/020.png,,missing
fish-021,梭子魚,梭魚,,assets/fish/icons/generated/021.png,,missing
fish-022,沙甸魚,沙甸,,assets/fish/icons/generated/022.png,,missing
fish-023,油魚,油甘魚,,assets/fish/icons/generated/023.png,,missing
fish-024,海鯽,海鯽,,assets/fish/icons/generated/024.png,,missing
fish-025,海鱔,海鱔,,assets/fish/icons/generated/025.png,,missing
fish-026,獨角革魨,剝皮魚,,assets/fish/icons/generated/026.png,,missing
fish-027,白點竹鯊,狗仔鯊,,assets/fish/icons/generated/027.png,,missing
fish-028,皇帝魚,皇帝魚,,assets/fish/icons/generated/028.png,,missing
fish-029,短吻飛魚,飛魚,,assets/fish/icons/generated/029.png,,missing
fish-030,石首魚,石首,,assets/fish/icons/generated/030.png,,missing
fish-031,窄帶馬鮫,馬鮫,,assets/fish/icons/generated/031.png,,missing
fish-032,紅魔鬼岩魚,紅魔鬼,,assets/fish/icons/generated/032.png,,missing
fish-033,羊魚,鬚鯛,,assets/fish/icons/generated/033.png,,missing
fish-034,羊魚（鬚）,鬚羊魚,,assets/fish/icons/generated/034.png,,missing
fish-035,花生魚,花生魚,,assets/fish/icons/generated/035.png,,missing
fish-036,花鰹,花煙,,assets/fish/icons/generated/036.png,,missing
fish-037,蛋斑隆頭魚,青衣,,assets/fish/icons/generated/037.png,,missing
fish-038,角聲魚,角聲,,assets/fish/icons/generated/038.png,,missing
fish-039,豹紋珊瑚鱸,東星斑,,assets/fish/icons/generated/039.png,,missing
fish-040,連米銀腹魚,連米魚,,assets/fish/icons/generated/040.png,,missing
fish-041,里夫黃姑魚,花黃姑,,assets/fish/icons/generated/041.png,,missing
fish-042,金目鱸,金目鱸,,assets/fish/icons/generated/042.png,,missing
fish-043,金線馬頭魚,紅衫馬頭,,assets/fish/icons/generated/043.png,,missing
fish-044,銀鯡,鯡魚,,assets/fish/icons/generated/044.png,,missing
fish-045,銀鯧,白鯧,,assets/fish/icons/generated/045.png,,missing
fish-046,銀鱚,沙鑽,,assets/fish/icons/generated/046.png,,missing
fish-047,青鱗小沙丁,青鱗沙甸,,assets/fish/icons/generated/047.png,,missing
fish-048,髭尾扁頭魚,牛鰍魚,,assets/fish/icons/generated/048.png,,missing
fish-049,鮣魚,貼魚,,assets/fish/icons/generated/049.png,,missing
fish-050,鯷魚,鯷仔,,assets/fish/icons/generated/050.png,,missing
fish-051,鰶魚,鰶魚,,assets/fish/icons/generated/051.png,,missing
fish-052,黃姑魚,黃花魚,,assets/fish/icons/generated/052.png,,missing
fish-053,黃甲魚,黃甲,,assets/fish/icons/generated/053.png,,missing
fish-054,黑帶金鼓,黑帶金鼓,,assets/fish/icons/generated/054.png,,missing
fish-055,黑邊銀鯽,黑邊銀鯽,,assets/fish/icons/generated/055.png,,missing
fish-056,黑鯧,黑鯧,,assets/fish/icons/generated/056.png,,missing
fish-057,鼠尾隆頭魚,老鼠斑衣,,assets/fish/icons/generated/057.png,,missing
fish-058,龍舟魚,龍舟,,assets/fish/icons/generated/058.png,,missing
fish-059,半嘴魚,半嘴,,assets/fish/icons/generated/059.png,,missing
fish-060,針魚,針魚,,assets/fish/icons/generated/060.png,,missing
fish-061,青針魚,青針,,assets/fish/icons/generated/061.png,,missing
fish-062,比目魚,左口魚,,assets/fish/icons/generated/062.png,,missing
fish-063,海鯰,海塘蝨,,assets/fish/icons/generated/063.png,,missing
fish-064,大鱗烏頭,大眼烏頭,,assets/fish/icons/generated/064.png,,missing
fish-065,彈塗魚,彈塗,,assets/fish/icons/generated/065.png,,missing
fish-066,灰烏頭,烏頭,,assets/fish/icons/generated/066.png,,missing
fish-067,狗母魚,狗母,,assets/fish/icons/generated/067.png,,missing
fish-068,花狗母魚,花狗母,,assets/fish/icons/generated/068.png,,missing
fish-069,鰕虎魚,狗公魚,,assets/fish/icons/generated/069.png,,missing
fish-070,鰻尾鯰,海塘蝨,,assets/fish/icons/generated/070.png,,missing
fish-071,康吉鰻,星鰻,,assets/fish/icons/generated/071.png,,missing
fish-072,獅子魚,火魚,,assets/fish/icons/generated/072.png,,missing
fish-073,石頭魚,石狗公,,assets/fish/icons/generated/073.png,,missing
fish-074,蠍子魚,蠍子魚,,assets/fish/icons/generated/074.png,,missing
fish-075,橙點石斑,紅斑,,assets/fish/icons/generated/075.png,,missing
fish-076,芝麻石斑,芝麻斑,,assets/fish/icons/generated/076.png,,missing
fish-077,花頭石斑,花頭斑,,assets/fish/icons/generated/077.png,,missing
fish-078,香港石斑,青斑,,assets/fish/icons/generated/078.png,,missing
fish-079,馬拉巴石斑,老虎斑,,assets/fish/icons/generated/079.png,,missing
fish-080,黑線石斑,黑線斑,,assets/fish/icons/generated/080.png,,missing
fish-081,龍膽石斑,龍躉,,assets/fish/icons/generated/081.png,,missing
fish-082,箱魨,箱魨,,assets/fish/icons/generated/082.png,,missing
fish-083,扳機魚,炮彈魚,,assets/fish/icons/generated/083.png,,missing
fish-084,橙點馬面魨,馬面,,assets/fish/icons/generated/084.png,,missing
fish-085,長帆馬面魨,長帆馬面,,assets/fish/icons/generated/085.png,,missing
fish-086,蝶魚,蝴蝶魚,,assets/fish/icons/generated/086.png,,missing
fish-087,鸚哥魚,鸚哥,,assets/fish/icons/generated/087.png,,missing
fish-088,泥鯭,泥鯭,,assets/fish/icons/generated/088.png,,missing
fish-089,三點雀鯛,三點姑娘魚,,assets/fish/icons/generated/089.png,,missing
fish-090,天竺鯛,天竺鯛,,assets/fish/icons/generated/090.png,,missing
fish-091,星點笛鯛,星點紅友,,assets/fish/icons/generated/091.png,,missing
fish-092,橫帶小鯛,橫帶小鱲,,assets/fish/icons/generated/092.png,,missing
fish-093,沙鯛,沙鱲,,assets/fish/icons/generated/093.png,,missing
fish-094,油鯛,油甘魚,,assets/fish/icons/generated/094.png,,missing
fish-095,火焰笛鯛,火焰紅友,,assets/fish/icons/generated/095.png,,missing
fish-096,牙點鯛,牙點鱲,,assets/fish/icons/generated/096.png,,missing
fish-097,白鯛,白鱲,,assets/fish/icons/generated/097.png,,missing
fish-098,約翰笛鯛,黃雞魚,,assets/fish/icons/generated/098.png,,missing
fish-099,紅樹笛鯛,紅衫公,,assets/fish/icons/generated/099.png,,missing
fish-100,紅鯛,紅鱲,,assets/fish/icons/generated/100.png,,missing
fish-101,羅素笛鯛,紅友,,assets/fish/icons/generated/101.png,,missing
fish-102,赤鯛,赤鱲,,assets/fish/icons/generated/102.png,,missing
fish-103,金線鯛,紅衫,,assets/fish/icons/generated/103.png,,missing
fish-104,金線鯛王,大紅衫,,assets/fish/icons/generated/104.png,,missing
fish-105,鋸緣雀鯛,鋸緣姑娘魚,,assets/fish/icons/generated/105.png,,missing
fish-106,雀鯛,姑娘魚,,assets/fish/icons/generated/106.png,,missing
fish-107,馬友鯛,馬友鱲,,assets/fish/icons/generated/107.png,,missing
fish-108,黃尾笛鯛,黃尾紅友,,assets/fish/icons/generated/108.png,,missing
fish-109,黃尾雀鯛,黃尾姑娘魚,,assets/fish/icons/generated/109.png,,missing
fish-110,黃鰭鯛,黃腳鱲,,assets/fish/icons/generated/110.png,,missing
fish-111,黑沙鯛,黑沙鱲,,assets/fish/icons/generated/111.png,,missing
fish-112,黑鯛,烏頭鱲,,assets/fish/icons/generated/112.png,,missing
fish-113,印度鯖,鯖魚,,assets/fish/icons/generated/113.png,,missing
fish-114,大眼竹筴魚,大眼竹筴,,assets/fish/icons/generated/114.png,,missing
fish-115,大眼竹筴魚王,竹筴王,,assets/fish/icons/generated/115.png,,missing
fish-116,橙鰭銀腹鯧鰺,黃腳鯧鰺,,assets/fish/icons/generated/116.png,,missing
fish-117,紫胸馬加鰆,馬加鰆,,assets/fish/icons/generated/117.png,,missing
fish-118,細鱗竹筴魚,細鱗竹筴,,assets/fish/icons/generated/118.png,,missing
fish-119,金鰭鰺,金鰭瓜,,assets/fish/icons/generated/119.png,,missing
fish-120,銀腹鯧鰺,鯧鰺,,assets/fish/icons/generated/120.png,,missing
fish-121,長尾吞拿,吞拿,,assets/fish/icons/generated/121.png,,missing
fish-122,馬拉巴鰺,白瓜,,assets/fish/icons/generated/122.png,,missing
fish-123,黃尾擬鰺,黃尾瓜,,assets/fish/icons/generated/123.png,,missing
fish-124,黃尾竹筴魚,竹筴,,assets/fish/icons/generated/124.png,,missing
fish-125,黃條鰺,黃條瓜,,assets/fish/icons/generated/125.png,,missing
