old_id,new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,dangerLevelInt,marketPrice,isNew
fish-003,fish-001,三角魚,三角魚,,其他魚類,fish,1,0,30,False
fish-004,fish-002,三鬚魚,三鬚,,其他魚類,fish,1,0,30,False
fish-005,fish-003,九肚魚,九肚魚,Harpadon nehereus,其他魚類,fish,1,0,40,False
fish-059,fish-004,半嘴魚,半嘴,Hemiramphus far,其他魚類,fish,1,0,35,False
fish-006,fish-005,咬仔鳚,狗母鳚,,其他魚類,fish,1,0,25,False
fish-015,fish-006,斑點金鼓,金鼓,Scatophagus argus,其他魚類,fish,1,0,35,False
fish-022,fish-007,沙甸魚,沙甸,Sardinella aurita,其他魚類,fish,1,0,30,False
fish-001,fish-008,河豚,雞泡,Diodon holocanthus,其他魚類,fish,1,0,200,False
fish-024,fish-009,海鯽,海鯽,Gerres simillimus,其他魚類,fish,1,0,35,False
fish-029,fish-010,短吻飛魚,飛魚,,其他魚類,fish,1,0,30,False
fish-034,fish-011,羊魚（鬚）,鬚羊魚,,其他魚類,fish,1,0,35,False
fish-035,fish-012,花生魚,花生魚,,其他魚類,fish,1,0,30,False
fish-060,fish-013,針魚,針魚,Petalichthys capensis,其他魚類,fish,1,0,30,False
fish-044,fish-014,銀鯡,鯡魚,Gerres subfasciatus,其他魚類,fish,1,0,30,False
fish-061,fish-015,青針魚,青針,,其他魚類,fish,1,0,30,False
fish-047,fish-016,青鱗小沙丁,青鱗沙甸,,其他魚類,fish,1,0,25,False
fish-002,fish-017,魟魚,魔鬼魚,Hypanus americanus,其他魚類,fish,1,0,150,False
fish-050,fish-018,鯷魚,鯷仔,Engraulis australis,其他魚類,fish,1,0,25,False
fish-051,fish-019,鰶魚,鰶魚,Dorosoma cepedianum,其他魚類,fish,1,0,30,False
fish-055,fish-020,黑邊銀鯽,黑邊銀鯽,,其他魚類,fish,1,0,35,False
fish-007,fish-021,四指馬友,馬友,Eleutheronema tetradactylum,其他魚類,fish,2,0,80,False
fish-008,fish-022,大眼扁頭魚,大眼牛鰍,,其他魚類,fish,2,0,55,False
fish-009,fish-023,大頭帶魚,刀魚,Trichiurus lepturus,其他魚類,fish,2,0,65,False
fish-010,fish-024,大頭黃姑魚,白䱛,Pennahia macrocephala,其他魚類,fish,2,0,60,False
fish-012,fish-025,小帶紋石首魚,花石首,Terapon puta,其他魚類,fish,2,0,45,False
fish-014,fish-026,斑點石鱸,石鱸,Plectorhinchus flavomaculatus,其他魚類,fish,2,0,55,False
fish-016,fish-027,斑點鱚,花沙鑽,Sillaginodes punctatus,其他魚類,fish,2,0,50,False
fish-019,fish-028,日本馬頭魚,馬頭魚,,其他魚類,fish,2,0,65,False
fish-020,fish-029,條紋伏波魚,伏波魚,Eucinostomus gula,其他魚類,fish,2,0,40,False
fish-023,fish-030,油魚,油甘魚,Ruvettus pretiosus,其他魚類,fish,2,0,60,False
fish-026,fish-031,獨角革魨,剝皮魚,Aluterus monoceros,其他魚類,fish,2,0,45,False
fish-027,fish-032,白點竹鯊,狗仔鯊,Chiloscyllium plagiosum,其他魚類,fish,2,0,50,False
fish-030,fish-033,石首魚,石首,Helotes octolineatus,其他魚類,fish,2,0,45,False
fish-033,fish-034,羊魚,鬚鯛,Upeneichthys porosus,其他魚類,fish,2,0,50,False
fish-036,fish-035,花鰹,花煙,Euthynnus affinis,其他魚類,fish,2,0,55,False
fish-038,fish-036,角聲魚,角聲,,其他魚類,fish,2,0,45,False
fish-040,fish-037,連米銀腹魚,連米魚,,其他魚類,fish,2,0,40,False
fish-041,fish-038,里夫黃姑魚,花黃姑,,其他魚類,fish,2,0,50,False
fish-043,fish-039,金線馬頭魚,紅衫馬頭,Nemipterus virgatus,其他魚類,fish,2,0,65,False
fish-045,fish-040,銀鯧,白鯧,Pampus argenteus,其他魚類,fish,2,0,60,False
fish-046,fish-041,銀鱚,沙鑽,Sillago argentifasciata,其他魚類,fish,2,0,50,False
fish-048,fish-042,髭尾扁頭魚,牛鰍魚,Platycephalus indicus,其他魚類,fish,2,0,50,False
fish-049,fish-043,鯣魚,貼魚,Remora remora,其他魚類,fish,2,0,30,False
fish-052,fish-044,黃姑魚,黃花魚,Umbrina roncador,其他魚類,fish,2,0,55,False
fish-053,fish-045,黃甲魚,黃甲,,其他魚類,fish,2,0,45,False
fish-054,fish-046,黑帶金鼓,黑帶金鼓,Neoscorpis lithophilus,其他魚類,fish,2,0,50,False
fish-056,fish-047,黑鯧,黑鯧,Parastromateus niger,其他魚類,fish,2,0,55,False
fish-058,fish-048,龍舟魚,龍舟,,其他魚類,fish,2,0,45,False
fish-011,fish-049,寶石隆頭魚,寶石青衣,,其他魚類,fish,3,0,70,False
fish-013,fish-050,岩魚,石狗公仔,Sebastes caurinus,其他魚類,fish,3,0,75,False
fish-017,fish-051,旗魚,劍旗魚,Jordanella floridae,其他魚類,fish,3,0,90,False
fish-018,fish-052,日本真鱸,海鱸,Lateolabrax japonicus,其他魚類,fish,3,0,100,False
fish-021,fish-053,梭子魚,梭魚,Sphyraena barracuda,其他魚類,fish,3,0,85,False
fish-025,fish-054,海鱔,海鱔,Gymnothorax undulatus,其他魚類,fish,3,0,95,False
fish-028,fish-055,皇帝魚,皇帝魚,Scomberoides lysan,其他魚類,fish,3,0,80,False
fish-031,fish-056,窄帶馬鮫,馬鮫,Scomberomorus commerson,其他魚類,fish,3,0,90,False
fish-032,fish-057,紅魔鬼岩魚,紅魔鬼,,其他魚類,fish,3,0,75,False
fish-037,fish-058,蛋斑隆頭魚,青衣,,其他魚類,fish,3,0,65,False
fish-039,fish-059,豹紋珊瑚鱸,東星斑,Plectropomus leopardus,其他魚類,fish,3,0,120,False
fish-042,fish-060,金目鱸,金目鱸,Lates calcarifer,其他魚類,fish,3,0,110,False
fish-057,fish-061,鼠尾隆頭魚,老鼠斑衣,,其他魚類,fish,3,0,60,False
fish-065,fish-062,彈塗魚,彈塗,Periophthalmus barbarus,底棲近岸類,fish,1,0,30,False
fish-066,fish-063,灰烏頭,烏頭,Chelon labrosus,底棲近岸類,fish,1,0,35,False
fish-067,fish-064,狗母魚,狗母,Synodus variegatus,底棲近岸類,fish,1,0,30,False
fish-068,fish-065,花狗母魚,花狗母,,底棲近岸類,fish,1,0,30,False
