001 | 003 | 三角魚        | 三角魚        | 其他魚類         | R1
002 | 004 | 三鬚魚        | 三鬚         | 其他魚類         | R1
003 | 005 | 九肚魚        | 九肚魚        | 其他魚類         | R1
004 | 059 | 半嘴魚        | 半嘴         | 其他魚類         | R1
005 | 006 | 咬仔鳚        | 狗母鳚        | 其他魚類         | R1
006 | 015 | 斑點金鼓       | 金鼓         | 其他魚類         | R1
007 | 022 | 沙甸魚        | 沙甸         | 其他魚類         | R1
008 | 001 | 河豚         | 雞泡         | 其他魚類         | R1
009 | 024 | 海鯽         | 海鯽         | 其他魚類         | R1
010 | 029 | 短吻飛魚       | 飛魚         | 其他魚類         | R1
011 | 034 | 羊魚（鬚）      | 鬚羊魚        | 其他魚類         | R1
012 | 035 | 花生魚        | 花生魚        | 其他魚類         | R1
013 | 060 | 針魚         | 針魚         | 其他魚類         | R1
014 | 044 | 銀鯡         | 鯡魚         | 其他魚類         | R1
015 | 061 | 青針魚        | 青針         | 其他魚類         | R1
016 | 047 | 青鱗小沙丁      | 青鱗沙甸       | 其他魚類         | R1
017 | 002 | 魟魚         | 魔鬼魚        | 其他魚類         | R1
018 | 050 | 鯷魚         | 鯷仔         | 其他魚類         | R1
019 | 051 | 鰶魚         | 鰶魚         | 其他魚類         | R1
020 | 055 | 黑邊銀鯽       | 黑邊銀鯽       | 其他魚類         | R1
021 | 007 | 四指馬友       | 馬友         | 其他魚類         | R2
022 | 008 | 大眼扁頭魚      | 大眼牛鰍       | 其他魚類         | R2
023 | 009 | 大頭帶魚       | 刀魚         | 其他魚類         | R2
024 | 010 | 大頭黃姑魚      | 白䱛         | 其他魚類         | R2
025 | 012 | 小帶紋石首魚     | 花石首        | 其他魚類         | R2
026 | 014 | 斑點石鱸       | 石鱸         | 其他魚類         | R2
027 | 016 | 斑點鱚        | 花沙鑽        | 其他魚類         | R2
028 | 019 | 日本馬頭魚      | 馬頭魚        | 其他魚類         | R2
029 | 020 | 條紋伏波魚      | 伏波魚        | 其他魚類         | R2
030 | 023 | 油魚         | 油甘魚        | 其他魚類         | R2
031 | 026 | 獨角革魨       | 剝皮魚        | 其他魚類         | R2
032 | 027 | 白點竹鯊       | 狗仔鯊        | 其他魚類         | R2
033 | 030 | 石首魚        | 石首         | 其他魚類         | R2
034 | 033 | 羊魚         | 鬚鯛         | 其他魚類         | R2
035 | 036 | 花鰹         | 花煙         | 其他魚類         | R2
036 | 038 | 角聲魚        | 角聲         | 其他魚類         | R2
037 | 040 | 連米銀腹魚      | 連米魚        | 其他魚類         | R2
038 | 041 | 里夫黃姑魚      | 花黃姑        | 其他魚類         | R2
039 | 043 | 金線馬頭魚      | 紅衫馬頭       | 其他魚類         | R2
040 | 045 | 銀鯧         | 白鯧         | 其他魚類         | R2
041 | 046 | 銀鱚         | 沙鑽         | 其他魚類         | R2
042 | 048 | 髭尾扁頭魚      | 牛鰍魚        | 其他魚類         | R2
043 | 049 | 鯣魚         | 貼魚         | 其他魚類         | R2
044 | 052 | 黃姑魚        | 黃花魚        | 其他魚類         | R2
045 | 053 | 黃甲魚        | 黃甲         | 其他魚類         | R2
046 | 054 | 黑帶金鼓       | 黑帶金鼓       | 其他魚類         | R2
047 | 056 | 黑鯧         | 黑鯧         | 其他魚類         | R2
048 | 058 | 龍舟魚        | 龍舟         | 其他魚類         | R2
049 | 011 | 寶石隆頭魚      | 寶石青衣       | 其他魚類         | R3
050 | 013 | 岩魚         | 石狗公仔       | 其他魚類         | R3
051 | 017 | 旗魚         | 劍旗魚        | 其他魚類         | R3
052 | 018 | 日本真鱸       | 海鱸         | 其他魚類         | R3
053 | 021 | 梭子魚        | 梭魚         | 其他魚類         | R3
054 | 025 | 海鱔         | 海鱔         | 其他魚類         | R3
055 | 028 | 皇帝魚        | 皇帝魚        | 其他魚類         | R3
056 | 031 | 窄帶馬鮫       | 馬鮫         | 其他魚類         | R3
057 | 032 | 紅魔鬼岩魚      | 紅魔鬼        | 其他魚類         | R3
058 | 037 | 蛋斑隆頭魚      | 青衣         | 其他魚類         | R3
059 | 039 | 豹紋珊瑚鱸      | 東星斑        | 其他魚類         | R3
060 | 042 | 金目鱸        | 金目鱸        | 其他魚類         | R3
061 | 057 | 鼠尾隆頭魚      | 老鼠斑衣       | 其他魚類         | R3
062 | 065 | 彈塗魚        | 彈塗         | 底棲近岸類        | R1
063 | 066 | 灰烏頭        | 烏頭         | 底棲近岸類        | R1
064 | 067 | 狗母魚        | 狗母         | 底棲近岸類        | R1
065 | 068 | 花狗母魚       | 花狗母        | 底棲近岸類        | R1
066 | 069 | 鰕虎魚        | 狗公魚        | 底棲近岸類        | R1
067 | 064 | 大鱗烏頭       | 大眼烏頭       | 底棲近岸類        | R2
068 | 062 | 比目魚        | 左口魚        | 底棲近岸類        | R2
069 | 063 | 海鯰         | 海塘蝨        | 底棲近岸類        | R2
070 | 070 | 鰻尾鯰        | 海塘蝨        | 底棲近岸類        | R2
071 | 071 | 康吉鰻        | 星鰻         | 底棲近岸類        | R3
072 |  -- | 杉斑         | 杉斑         | 石斑類          | R3 ★NEW★
073 | 072 | 橙點石斑       | 紅斑         | 石斑類          | R3
074 |  -- | 紅瓜子斑       | 紅瓜子斑       | 石斑類          | R3 ★NEW★
075 | 073 | 芝麻石斑       | 芝麻斑        | 石斑類          | R3
076 | 074 | 花頭石斑       | 花頭斑        | 石斑類          | R3
077 | 075 | 香港石斑       | 青斑         | 石斑類          | R3
078 | 076 | 馬拉巴石斑      | 老虎斑        | 石斑類          | R3
079 | 077 | 黑線石斑       | 黑線斑        | 石斑類          | R3
080 |  -- | 西星斑        | 西星斑        | 石斑類          | R4 ★NEW★
081 |  -- | 金錢斑        | 金錢斑        | 石斑類          | R4 ★NEW★
082 | 078 | 龍膽石斑       | 龍躉         | 石斑類          | R4
083 |  -- | 老鼠斑        | 老鼠斑        | 石斑類          | R5 ★NEW★
084 |  -- | 蘇鼠斑        | 蘇鼠斑        | 石斑類          | R5 ★NEW★
085 | 080 | 扳機魚        | 炮彈魚        | 礁棲觀賞類        | R2
086 | 081 | 橙點馬面魨      | 馬面         | 礁棲觀賞類        | R2
087 | 079 | 箱魨         | 箱魨         | 礁棲觀賞類        | R2
088 | 083 | 蝶魚         | 蝴蝶魚        | 礁棲觀賞類        | R2
089 | 082 | 長帆馬面魨      | 長帆馬面       | 礁棲觀賞類        | R2
