id,name,clean_name,type,is_island,district,radius_meters,lat,lon,geo_display,source
pier_001,中環九號碼頭  中西,中環九號碼頭 中西,pier,false,區,50,,,,TLB-1-c1.pdf
pier_002,中環十號碼頭  中西,中環十號碼頭 中西,pier,false,區,50,,,,TLB-1-c1.pdf
pier_003,糖水道碼頭  東,糖水道碼頭 東,pier,false,區,50,,,,TLB-1-c1.pdf
pier_004,長洲公眾碼頭,長洲公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_005,芝麻灣碼頭,芝麻灣碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_006,蘆荻灣碼頭,蘆荻灣碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_007,鹿洲村碼頭,鹿洲村碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_008,坪洲公眾碼頭,坪洲公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_009,蒲台公眾碼頭,蒲台公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_010,西灣碼頭,西灣碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_011,沙螺灣碼頭,沙螺灣碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_012,索罟灣二號碼頭,索罟灣二號碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_013,索罟灣公眾碼頭,索罟灣公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_014,大利島碼頭,大利島碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_015,大澳公眾碼頭,大澳公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_016,大水坑碼頭,大水坑碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_017,東涌發展碼頭  (公眾 ),東涌發展碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_018,東涌公眾碼頭,東涌公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_019,榕樹灣發展碼頭,榕樹灣發展碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_020,榕樹灣公眾碼頭,榕樹灣公眾碼頭,pier,false,離島,50,,,,TLB-1-c1.pdf
pier_021,青衣公眾碼頭,青衣公眾碼頭,pier,false,葵青,50,,,,TLB-1-c1.pdf
pier_022,觀塘公眾碼頭,觀塘公眾碼頭,pier,false,觀塘,50,,,,TLB-1-c1.pdf
pier_023,鴨洲公眾碼頭  北,鴨洲公眾碼頭 北,pier,false,區,50,,,,TLB-1-c1.pdf
