id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
P001,中環九號碼頭,中環九號碼頭,pier,false,,50,TLB-1-c1.pdf,22.286059998,114.162570004,map.gov.hk locationSearch + geodetic transform,
P002,中環十號碼頭,中環十號碼頭,pier,false,,50,TLB-1-c1.pdf,22.285370343,114.162900169,map.gov.hk locationSearch + geodetic transform,
P003,糖水道碼頭,糖水道碼頭,pier,false,,50,TLB-1-c1.pdf,22.293670445,114.198504994,map.gov.hk locationSearch + geodetic transform,
P004,長洲公眾碼頭,長洲公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.207984508,114.028471227,map.gov.hk locationSearch + geodetic transform,
P005,芝麻灣碼頭,芝麻灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.23965401,114.000267838,map.gov.hk locationSearch + geodetic transform,
P006,蘆荻灣碼頭,蘆荻灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.22312565,114.126631804,map.gov.hk locationSearch + geodetic transform,
P007,鹿洲村碼頭,鹿洲村碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.218466997,114.130648851,map.gov.hk locationSearch + geodetic transform,
P008,坪洲公眾碼頭,坪洲公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.284175385,114.037832489,map.gov.hk locationSearch + geodetic transform,
P009,蒲台公眾碼頭,蒲台公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.165038897,114.253108764,map.gov.hk locationSearch + geodetic transform,
P010,西灣碼頭,西灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.216597698,114.103449356,map.gov.hk locationSearch + geodetic transform,
P011,沙螺灣碼頭,沙螺灣碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.293758641,113.904002788,map.gov.hk locationSearch + geodetic transform,
P012,索罟灣二號碼頭,索罟灣二號碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.206329855,114.131118334,map.gov.hk locationSearch + geodetic transform,
P013,索罟灣公眾碼頭,索罟灣公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.205652491,114.130905195,map.gov.hk locationSearch + geodetic transform,
P014,大利島碼頭,大利島碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.288515419,114.033587632,map.gov.hk locationSearch + geodetic transform,
P015,大澳公眾碼頭,大澳公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.252621165,113.853044201,map.gov.hk locationSearch + geodetic transform,
P016,大水坑碼頭,大水坑碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.281985666,114.023037028,map.gov.hk locationSearch + geodetic transform,
P017,東涌發展碼頭(公眾),東涌發展碼頭(公眾),pier,false,離島,50,TLB-1-c1.pdf,22.294158912,113.940402296,,
P018,東涌公眾碼頭,東涌公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.286257064,113.934214975,map.gov.hk locationSearch + geodetic transform,
P019,榕樹灣發展碼頭,榕樹灣發展碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.225187856,114.110384462,map.gov.hk locationSearch + geodetic transform,
P020,榕樹灣公眾碼頭,榕樹灣公眾碼頭,pier,false,離島,50,TLB-1-c1.pdf,22.207984508,114.028471227,map.gov.hk locationSearch + geodetic transform,
P021,青衣公眾碼頭,青衣公眾碼頭,pier,false,葵青,50,TLB-1-c1.pdf,22.354208013,114.109537072,map.gov.hk locationSearch + geodetic transform,
P022,觀塘公眾碼頭,觀塘公眾碼頭,pier,false,觀塘,50,TLB-1-c1.pdf,22.308647877,114.220227597,map.gov.hk locationSearch + geodetic transform,
P023,鴨洲公眾碼頭,鴨洲公眾碼頭,pier,false,,50,TLB-1-c1.pdf,22.550426745,114.269788019,map.gov.hk locationSearch + geodetic transform,
P024,吉澳洲碼頭,吉澳洲碼頭,pier,false,,50,TLB-1-c1.pdf,22.550142865,114.290029071,map.gov.hk locationSearch + geodetic transform,
P025,沙頭角公眾碼頭,沙頭角公眾碼頭,pier,false,,50,TLB-1-c1.pdf,22.541541767,114.227309178,map.gov.hk locationSearch + geodetic transform,
P026,大廟灣公眾碼頭,大廟灣公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.269954967,114.288802966,map.gov.hk locationSearch + geodetic transform,
P027,北丫碼頭,北丫碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.35281146,114.349526267,map.gov.hk locationSearch + geodetic transform,
