id,name_zh,name_en,type,is_island,district,radius_meters,source
I001,丫洲,A Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I002,鴉洲,A Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I003,北長洲石,Adamasta Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I004,鴨洲尾白墩排,Ap Chau Mei Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I005,鴨洲白墩排,Ap Chau Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I006,鴨洲,Ap Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I007,鴨脷洲,Ap Lei Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I008,鴨脷排,Ap Lei Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I009,鴨籮春,Ap Lo Chun,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I010,鴨蛋排,Ap Tan Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I011,鴨兜排,Ap Tau Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I012,匙洲,Bay Islet,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I013,打浪排,Breaker Reef,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I014,崩鼻洲,Bun Bei Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I015,崩紗排,Bun Sha Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
