name,district_or_note,source
"A Chau (, Centre Island)",Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
A Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Adamasta Rock (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Chau Mei Pak Tun Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Chau Pak Tun Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Ap Chau (, Robinson Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Ap Lei Chau (, Aberdeen Island)",Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Lei Pai (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Lo Chun (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Tan Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ap Tau Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Bay Islet (, See Chau)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Breaker Reef (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Bun Bei Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Bun Sha Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cha Kwo Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cha Yue Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cham Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cham Tau Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Chap Mo Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Chau Tsai Kok (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Chau Tsai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Che Lei Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Chek Chau (, Port Island)",Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Chek Lap Kok (),Islands – now assimilated with Lam Chau into the airport platform and connected to Lantau Island by two bridges,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cheung Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cheung Shek Tsui (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cheung Sok (),Tsuen Wan,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cheung Tsui Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Ching Chau (, distinct from Steep Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Conic Island (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Douglas Rock (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Flat Island (, Ngan Chau)",Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Fo Shek Chau (, Basalt Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Fo Siu Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
