no,name,district,source
1,中環九號碼頭  中西,區,TLB-1-c1.pdf
2,中環十號碼頭  中西,區,TLB-1-c1.pdf
3,糖水道碼頭  東,區,TLB-1-c1.pdf
4,長洲公眾碼頭,離島,TLB-1-c1.pdf
5,芝麻灣碼頭,離島,TLB-1-c1.pdf
6,蘆荻灣碼頭,離島,TLB-1-c1.pdf
7,鹿洲村碼頭,離島,TLB-1-c1.pdf
9,坪洲公眾碼頭,離島,TLB-1-c1.pdf
10,蒲台公眾碼頭,離島,TLB-1-c1.pdf
11,西灣碼頭,離島,TLB-1-c1.pdf
12,沙螺灣碼頭,離島,TLB-1-c1.pdf
13,索罟灣二號碼頭,離島,TLB-1-c1.pdf
14,索罟灣公眾碼頭,離島,TLB-1-c1.pdf
15,大利島碼頭,離島,TLB-1-c1.pdf
16,大澳公眾碼頭,離島,TLB-1-c1.pdf
17,大水坑碼頭,離島,TLB-1-c1.pdf
18,東涌發展碼頭  (公眾 ),離島,TLB-1-c1.pdf
19,東涌公眾碼頭,離島,TLB-1-c1.pdf
20,榕樹灣發展碼頭,離島,TLB-1-c1.pdf
21,榕樹灣公眾碼頭,離島,TLB-1-c1.pdf
22,青衣公眾碼頭,葵青,TLB-1-c1.pdf
23,觀塘公眾碼頭,觀塘,TLB-1-c1.pdf
24,鴨洲公眾碼頭  北,區,TLB-1-c1.pdf
25,吉澳洲碼頭  北,區,TLB-1-c1.pdf
26,沙頭角公眾碼頭  北,區,TLB-1-c1.pdf
28,大廟灣公眾碼頭,西貢,TLB-1-c1.pdf
29,北丫碼頭,西貢,TLB-1-c1.pdf
30,白沙灣第二碼頭,西貢,TLB-1-c1.pdf
31,布袋澳二號碼頭,西貢,TLB-1-c1.pdf
32,西貢新公眾碼頭,西貢,TLB-1-c1.pdf
33,西貢公眾碼頭,西貢,TLB-1-c1.pdf
36,大頭洲碼頭,西貢,TLB-1-c1.pdf
37,調景嶺碼頭,西貢,TLB-1-c1.pdf
38,早禾坑碼頭,西貢,TLB-1-c1.pdf
39,東龍洲北碼頭,西貢,TLB-1-c1.pdf
40,東龍洲公眾碼頭,西貢,TLB-1-c1.pdf
41,鹽田仔碼頭,西貢,TLB-1-c1.pdf
42,馬料水渡輪碼頭,沙田,TLB-1-c1.pdf
43,烏溪沙碼頭,沙田,TLB-1-c1.pdf
44,赤柱卜公碼頭  南,區,TLB-1-c1.pdf
45,聖士提反灣 (南 )碼頭  南,區,TLB-1-c1.pdf
46,大潭灣碼頭  南,區,TLB-1-c1.pdf
49,高流灣公眾碼頭,大埔,TLB-1-c1.pdf
50,荔枝莊碼頭,大埔,TLB-1-c1.pdf
51,三門仔村碼頭,大埔,TLB-1-c1.pdf
53,大美督一號碼頭,大埔,TLB-1-c1.pdf
55,大埔鐵路碼頭,大埔,TLB-1-c1.pdf
56,塔門碼頭,大埔,TLB-1-c1.pdf
57,東平洲公眾碼頭,大埔,TLB-1-c1.pdf
58,黃石公眾碼頭,大埔,TLB-1-c1.pdf
59,深井 釣魚灣碼頭,荃灣,TLB-1-c1.pdf
60,深井公眾碼頭,荃灣,TLB-1-c1.pdf
61,大排咀碼頭,荃灣,TLB-1-c1.pdf
62,荃灣渡輪碼頭 (西鐵 ),荃灣,TLB-1-c1.pdf
64,油柑頭碼頭,荃灣,TLB-1-c1.pdf
65,嘉道理碼頭,屯門,TLB-1-c1.pdf
66,九龍公眾碼頭,油尖旺,TLB-1-c1.pdf
