status,id,name_zh,name_en,lat,lon,distance_km,class,type,reason,seed_lat,seed_lon
accepted,I001,丫洲,A Chau,22.4392668,114.2222517,0.015,place,islet,,,
accepted,I002,鴉洲,A Chau,22.5277135,114.2108398,0.007,place,islet,,,
accepted,I003,北長洲石,Adamasta Rock,22.2236093,114.0230818,0.0,natural,reef,,,
accepted,I004,鴨洲尾白墩排,Ap Chau Mei Pak Tun Pai,22.5495795,114.2697607,0.001,place,islet,,,
accepted,I005,鴨洲白墩排,Ap Chau Pak Tun Pai,22.5505375,114.267447,0.003,place,islet,,,
accepted,I007,鴨脷洲,Ap Lei Chau,22.2399354,114.1545244,0.094,boundary,administrative,,,
accepted,I009,鴨籮春,Ap Lo Chun,22.5524605,114.2648762,0.005,place,islet,,,
accepted,I010,鴨蛋排,Ap Tan Pai,22.5530943,114.2655155,0.0,natural,reef,,,
accepted,I011,鴨兜排,Ap Tau Pai,22.5358285,114.2723331,0.01,place,islet,,,
accepted,I012,匙洲,Bay Islet,22.3357668,114.3340652,0.017,place,islet,,,
accepted,I013,打浪排,Breaker Reef,22.461372,114.4202898,0.018,natural,reef,,,
accepted,I014,崩鼻洲,Bun Bei Chau,22.3364806,114.3677559,0.015,place,islet,,,
accepted,I015,崩紗排,Bun Sha Pai,22.4592739,114.2874203,0.016,place,islet,,,
accepted,I016,茶果洲,Cha Kwo Chau,22.2147878,113.9459523,0.014,place,islet,,,
accepted,I017,炸魚排,Cha Yue Pai,22.3802759,114.2955196,0.001,place,islet,,,
accepted,I018,杉排,Cham Pai,22.490175,114.3652851,0.018,place,islet,,,
accepted,I019,沉排,Cham Pai,22.3237159,114.3298323,0.006,place,islet,,,
accepted,I020,枕頭洲,Cham Tau Chau,22.3791527,114.2889098,0.033,place,islet,,,
accepted,I021,執毛洲,Chap Mo Chau,22.514341,114.2946646,0.007,place,islet,,,
accepted,I022,洲仔角,Chau Tsai Kok,22.4716835,114.3573514,0.004,place,islet,,,
accepted,I023,洲仔,Chau Tsai,22.3534064,114.3506028,0.007,place,islet,,,
accepted,I024,扯里排,Che Lei Pai,22.4636296,114.2909172,0.035,place,islet,,,
accepted,I026,赤鱲角,Chek Lap Kok,22.3152422,113.9358616,1.109,boundary,administrative,,,
accepted,I027,長洲,Cheung Chau,22.208822,114.0295672,0.035,place,suburb,,,
accepted,I029,長索,Cheung Sok,22.3347302,114.0237523,0.021,place,islet,,,
accepted,I030,長咀洲,Cheung Tsui Chau,22.4130681,114.4061639,0.007,place,islet,,,
accepted,I033,德己利士礁,Douglas Rock,22.2911769,114.0690264,0.002,natural,reef,,,
accepted,I034,銀洲,Flat Island,22.4787701,114.3312512,0.009,place,islet,,,
accepted,I036,火燒排,Fo Siu Pai,22.2761013,114.359238,0.003,place,island,,,
accepted,I037,虎王洲,Fu Wong Chau,22.5202377,114.2861033,0.077,place,islet,,,
accepted,I038,墳洲,Fun Chau,22.5334849,114.2761824,0.073,place,islet,,,
accepted,I040,蝦鬚排,Ha So Pai,22.2241444,114.0159729,0.017,place,islet,,,
accepted,I041,孝子角排,Hau Tsz Kok Pai,22.4774837,114.3534283,0.372,natural,reef,,,
accepted,I042,喜靈洲,Hei Ling Chau,22.2514077,114.0389871,0.187,place,suburb,,,
accepted,I043,蜆排,Hin Pai,22.4831853,114.3328234,0.001,place,islet,,,
accepted,I045,香港島,Hong Kong Island,22.2534634,114.190975,1.007,boundary,administrative,,,
accepted,I046,紅排,Hung Pai,22.5099218,114.290775,0.019,place,islet,,,
accepted,I047,雞洲,Kai Chau,22.366917,114.3245033,0.007,place,islet,,,
accepted,I049,狗脾洲,Kau Pei Chau,22.2057074,114.2592449,0.167,place,islet,,,
accepted,I051,交椅洲,Kau Yi Chau,22.284527,114.0764858,0.062,place,islet,,,
accepted,I052,橋頭,Kiu Tau,22.4810872,114.1553601,0.128,place,locality,,,
accepted,I054,高排,Ko Pai,22.5311178,114.2920517,0.002,place,islet,,,
accepted,I055,角大排,Kok Tai Pai,22.5145449,114.3005188,0.009,place,islet,,,
accepted,I056,光頭排,Kong Tau Pai,22.3389386,114.3751036,0.014,place,islet,,,
accepted,I057,九龍石,Kowloon Rock,22.3164458,114.1988698,0.002,place,islet,,,
accepted,I058,弓洲,Kung Chau,22.483614,114.3706343,0.083,place,islet,,,
accepted,I059,罐杉環,Kwun Cham Wan,22.374158,114.301381,0.04,place,islet,,,
accepted,I060,觀仔,Kwun Tsai,22.2650464,114.2797167,0.012,place,islet,,,
accepted,I061,癩痢仔,Lak Lei Tsai,22.3038292,114.3167792,0.031,place,islet,,,
accepted,I064,爛頭排,Lan Tau Pai,22.4057873,114.3877507,0.012,place,islet,,,
accepted,I066,垃圾洲,Lap Sap Chau,22.3862407,114.2822923,0.017,place,islet,,,
accepted,I068,羅洲,Lo Chau,22.2069508,114.2228023,0.007,place,islet,,,
accepted,I069,鷀鸕排,Lo Chi Pai,22.3644273,114.2996845,0.006,place,islet,,,
accepted,I070,老虎吊排,Lo Fu Tiu Pai,22.3630708,114.3253372,0.001,place,islet,,,
accepted,I072,饅頭排,Loaf Rock,22.2087992,114.0369247,0.006,place,islet,,,
accepted,I075,龍山排,Lung Shan Pai,22.2408139,114.1432474,0.003,place,islet,,,
accepted,I076,龍船排,Lung Shuen Pai,22.3066333,114.3670152,0.006,place,islet,,,
accepted,I077,甩洲,Lut Chau,22.4768947,114.0329586,0.12,place,locality,,,
accepted,I079,孖仔排,Ma Tsai Pai,22.3228632,114.3272727,0.003,place,islet,,,
accepted,I082,火藥洲,Magazine Island,22.2433652,114.1390773,0.048,place,islet,,,
accepted,I083,尾排,Mei Pai,22.1990917,113.9815009,0.099,place,islet,,,
accepted,I085,芒洲仔,Mong Chau Tsai,22.3713941,114.3012844,0.013,place,islet,,,
accepted,I089,五分洲,Ng Fan Chau,22.2258865,114.2575888,0.021,place,islet,,,
accepted,I090,牙鷹洲,Nga Ying Chau,22.3888449,114.3159205,0.001,place,islet,,,
accepted,I091,牙鷹排,Nga Ying Pai,22.2426614,114.2807001,0.001,place,islet,,,
accepted,I092,岩口石,Ngam Hau Shek,22.3296433,114.0587666,0.01,place,islet,,,
accepted,I094,牛頭排,Ngau Tau Pai,22.3221323,114.3017347,0.015,place,islet,,,
accepted,I097,"白洲, Tree Island",Pak Chau,22.3562651,113.8746893,0.017,place,islet,,,
accepted,I098,筆架洲,Pak Ka Chau,22.5328314,114.2884218,0.003,place,islet,,,
accepted,I099,白馬咀排,Pak Ma Tsui Pai,22.3475171,114.2743543,0.002,natural,reef,,,
accepted,I100,白排,Pak Pai,22.3077078,114.3096715,0.004,place,islet,,,
accepted,I103,雞翼角,Peaked Hill,22.2162627,113.8368221,0.019,place,islet,,,
accepted,I105,龍珠島,Pearl Island,22.3654743,113.989753,0.023,place,islet,,,
accepted,I106,扁洲,Pin Chau,22.3264663,114.3685127,0.005,place,islet,,,
accepted,I107,平洲,Ping Chau,22.5455581,114.4283418,0.346,place,island,,,
accepted,I108,平面洲,Ping Min Chau,22.3118819,114.3186306,0.008,place,islet,,,
accepted,I110,蒲苔群島,Po Toi Islands,22.1757113,114.27601,1.162,place,suburb,,,
accepted,I111,蒲魚排,Po Yue Pai,22.5461832,114.2956369,0.014,place,islet,,,
accepted,I112,半山石,Pun Shan Shek,22.3217287,114.0681188,0.001,place,islet,,,
accepted,I113,尖柱石,Pyramid Rock,22.3221181,114.3660044,0.005,place,islet,,,
accepted,I115,細鴨洲,Sai Ap Chau,22.55155,114.2612219,0.04,place,islet,,,
accepted,I116,三排,Sam Pai,22.3115783,114.372619,0.001,place,islet,,,
accepted,I117,三杯酒,Sam Pui Chau,22.4327292,114.2719976,0.013,place,islet,,,
accepted,I119,沙排,Sha Pai,22.524841,114.2885613,0.001,place,islet,,,
accepted,I121,深水排,Sham Shui Pai,22.20543,114.0465791,0.001,place,islet,,,
accepted,I122,筲箕排,Shau Kei Pai,22.5231883,114.2924684,0.0,natural,reef,,,
accepted,I123,石洲,Shek Chau,22.1734329,113.907155,0.01,place,islet,,,
accepted,I125,石牛洲,Shek Ngau Chau,22.4663511,114.4276462,0.058,place,islet,,,
accepted,I127,雙排,Sheung Pai,22.5483028,114.2626485,0.015,place,islet,,,
accepted,I128,水浸咀排,Shui Cham Tsui Pai,22.5319501,114.2273411,0.034,place,islet,,,
accepted,I129,水排,Shui Pai,22.2124015,113.9901578,0.366,place,islet,,,
accepted,I130,小交椅洲,Siu Kau Yi Chau,22.2886783,114.05912,0.008,place,islet,,,
accepted,I131,小稔洲,Siu Nim Chau,22.5384192,114.267399,0.0,place,islet,,,
