new_id,old_id,fish_type,body_shape,rarity,fish_name,local_name,rep_file
1,40,其他魚類,圓筒型,4,Pufferfish,Pufferfish,040_hk-pufferfish.png
2,44,其他魚類,扁平型,2,Stingray,Stingray,044_hk-stingray.png
3,104,其他魚類,標準紡錘型,2,104,104,104.png
4,107,其他魚類,標準紡錘型,2,107,107,107.png
5,109,其他魚類,標準紡錘型,2,109,109,109.png
6,110,其他魚類,標準紡錘型,2,110,110,110.png
7,111,其他魚類,標準紡錘型,2,111,111,111.png
8,112,其他魚類,標準紡錘型,2,112,112,112.png
9,113,其他魚類,標準紡錘型,2,113,113,113.png
10,114,其他魚類,標準紡錘型,2,114,114,114.png
11,115,其他魚類,標準紡錘型,2,115,115,115.png
12,116,其他魚類,標準紡錘型,2,116,116,116.png
13,117,其他魚類,標準紡錘型,2,117,117,117.png
14,118,其他魚類,標準紡錘型,2,118,118,118.png
15,119,其他魚類,標準紡錘型,2,119,119,119.png
16,120,其他魚類,標準紡錘型,2,120,120,120.png
17,121,其他魚類,標準紡錘型,2,121,121,121.png
18,122,其他魚類,標準紡錘型,2,122,122,122.png
19,123,其他魚類,標準紡錘型,2,123,123,123.png
20,124,其他魚類,標準紡錘型,2,124,124,124.png
21,125,其他魚類,標準紡錘型,2,125,125,125.png
22,63,其他魚類,標準紡錘型,2,Anchovy,Anchovy,063_hk-anchovy-local-badge.png
23,65,其他魚類,標準紡錘型,2,Barracuda,Barracuda,065_hk-barracuda-local-badge.png
24,16,其他魚類,標準紡錘型,2,Barramundi,Barramundi,016_hk-barramundi.png
25,19,其他魚類,標準紡錘型,2,Bartail Flathead,Bartail Flathead,019_hk-bartail-flathead.png
26,26,其他魚類,標準紡錘型,2,Big Head Croaker,Big Head Croaker,026_hk-big-head-croaker.png
27,20,其他魚類,標準紡錘型,2,Bigeye Flathead,Bigeye Flathead,020_hk-bigeye-flathead.png
28,38,其他魚類,標準紡錘型,2,Black Pomfret,Black Pomfret,038_hk-black-pomfret.png
29,22,其他魚類,標準紡錘型,2,Bombay Duck,Bombay Duck,022_hk-bombay-duck.png
30,74,其他魚類,標準紡錘型,2,Cardinalfish,Cardinalfish,074_hk-cardinalfish-local-badge.png
31,100,其他魚類,標準紡錘型,2,Croaker,gwak,100_hk-croaker-gwak-local-badge.png
32,56,其他魚類,標準紡錘型,2,Egg Wrasse,Egg Wrasse,056_hk-egg-wrasse-local-badge.png
33,88,其他魚類,標準紡錘型,2,Flagfish,Flagfish,088_hk-flagfish-local-badge.png
34,17,其他魚類,標準紡錘型,2,Fourfinger Threadfin,Fourfinger Threadfin,017_hk-fourfinger-threadfin.png
35,59,其他魚類,標準紡錘型,2,Goatfish,Goatfish,059_hk-goatfish-local-badge.png
36,99,其他魚類,標準紡錘型,2,Goatfish,wrasp,099_hk-goatfish-wrasp-local-badge.png
37,60,其他魚類,標準紡錘型,2,Grunt,Grunt,060_hk-grunt-local-badge.png
38,101,其他魚類,標準紡錘型,2,Icon,Icon,101_icon.png
39,102,其他魚類,標準紡錘型,2,Icon,Icon,102_icon.png
40,103,其他魚類,標準紡錘型,2,Icon,Icon,103_icon.png
41,105,其他魚類,標準紡錘型,2,Icon,Icon,105_icon.png
42,106,其他魚類,標準紡錘型,2,Icon,Icon,106_icon.png
43,108,其他魚類,標準紡錘型,2,Icon,Icon,108_icon.png
44,15,其他魚類,標準紡錘型,2,Japanese Seabass,Japanese Seabass,015_hk-japanese-seabass.png
45,18,其他魚類,標準紡錘型,2,Largehead Hairtail,Largehead Hairtail,018_hk-largehead-hairtail.png
46,70,其他魚類,標準紡錘型,2,Mojarra,Mojarra,070_hk-mojarra-local-badge.png
47,57,其他魚類,標準紡錘型,2,Mouse Wrasse,Mouse Wrasse,057_hk-mouse-wrasse-local-badge.png
48,29,其他魚類,標準紡錘型,2,Orangefin Ponyfish,Orangefin Ponyfish,029_hk-orangefin-ponyfish.png
49,28,其他魚類,標準紡錘型,2,Ponyfish,Ponyfish,028_hk-ponyfish.png
50,27,其他魚類,標準紡錘型,2,Reeves Croaker,Reeves Croaker,027_hk-reeves-croaker.png
51,80,其他魚類,標準紡錘型,2,Remora,Remora,080_hk-remora-local-badge.png
52,64,其他魚類,標準紡錘型,2,Sardinella,Sardinella,064_hk-sardinella-local-badge.png
53,62,其他魚類,標準紡錘型,2,Silver Biddy,Silver Biddy,062_hk-silver-biddy-local-badge.png
54,39,其他魚類,標準紡錘型,2,Silver Pomfret,Silver Pomfret,039_hk-silver-pomfret.png
55,58,其他魚類,標準紡錘型,2,Silver Sillago,Silver Sillago,058_hk-silver-sillago-local-badge.png
56,61,其他魚類,標準紡錘型,2,Small Banded Grunter,Small Banded Grunter,061_hk-small-banded-grunter-local-badge.png
57,12,其他魚類,標準紡錘型,2,Spotted Scat,Spotted Scat,012_hk-spotted-scat.png
58,97,其他魚類,標準紡錘型,2,Spotted Sillago,Spotted Sillago,097_hk-spotted-sillago-local-badge.png
59,94,其他魚類,標準紡錘型,2,Spotted Sweetlips,Spotted Sweetlips,094_hk-spotted-sweetlips-local-badge.png
60,47,其他魚類,標準紡錘型,2,Unicorn Leatherjacket,Unicorn Leatherjacket,047_hk-unicorn-leatherjacket.png
61,45,其他魚類,標準紡錘型,2,White Spotted Bamboo Shark,White Spotted Bamboo Shark,045_hk-white-spotted-bamboo-shark.png
62,25,其他魚類,標準紡錘型,2,Yellow Croaker,Yellow Croaker,025_hk-yellow-croaker.png
63,90,其他魚類,標準紡錘型,2,Yellow Nail,Yellow Nail,090_hk-yellow-nail-local-badge.png
64,67,其他魚類,細長型,2,Halfbeak,Halfbeak,067_hk-halfbeak-local-badge.png
65,66,其他魚類,細長型,2,Needlefish,Needlefish,066_hk-needlefish-local-badge.png
66,48,底棲近岸類,扁平型,2,Flatfish,Flatfish,048_hk-flatfish.png
67,49,底棲近岸類,扁平型,2,Moray Eel,Moray Eel,049_hk-moray-eel.png
68,69,底棲近岸類,標準紡錘型,3,Sea Catfish,Sea Catfish,069_hk-sea-catfish-local-badge.png
69,50,底棲近岸類,標準紡錘型,2,Conger Eel,Conger Eel,050_hk-conger-eel.png
70,71,底棲近岸類,標準紡錘型,2,Goby,Goby,071_hk-goby-local-badge.png
71,13,底棲近岸類,標準紡錘型,2,Grey Mullet,Grey Mullet,013_hk-grey-mullet.png
72,14,底棲近岸類,標準紡錘型,2,Large Scale Mullet,Large Scale Mullet,014_hk-large-scale-mullet.png
