new_id,old_id,fish_type,body_shape,rarity,fish_name,local_name,rep_file
1,40,其他魚類,圓筒型,4,河豚,河豚,040_hk-pufferfish.png
2,44,其他魚類,扁平型,2,魟魚,魟魚,044_hk-stingray.png
3,74,其他魚類,標準紡錘型,2,天竺鯛,天竺鯛,074_hk-cardinalfish-local-badge.png
4,124,其他魚類,標準紡錘型,2,康吉鰻,康吉鰻,124_hk-daggertooth-pike-conger-local-badge.png
5,18,其他魚類,標準紡錘型,2,待補魚名018,待補魚名018,018_hk-largehead-hairtail.png
6,19,其他魚類,標準紡錘型,2,待補魚名019,待補魚名019,019_hk-bartail-flathead.png
7,20,其他魚類,標準紡錘型,2,待補魚名020,待補魚名020,020_hk-bigeye-flathead.png
8,22,其他魚類,標準紡錘型,2,待補魚名022,待補魚名022,022_hk-bombay-duck.png
9,28,其他魚類,標準紡錘型,2,待補魚名028,待補魚名028,028_hk-ponyfish.png
10,29,其他魚類,標準紡錘型,2,待補魚名029,待補魚名029,029_hk-orangefin-ponyfish.png
11,47,其他魚類,標準紡錘型,2,待補魚名047,待補魚名047,047_hk-unicorn-leatherjacket.png
12,60,其他魚類,標準紡錘型,2,待補魚名060,待補魚名060,060_hk-grunt-local-badge.png
13,88,其他魚類,標準紡錘型,2,待補魚名088,待補魚名088,088_hk-flagfish-local-badge.png
14,90,其他魚類,標準紡錘型,2,待補魚名090,待補魚名090,090_hk-yellow-nail-local-badge.png
15,101,其他魚類,標準紡錘型,2,待補魚名101,待補魚名101,101-badge.png
16,105,其他魚類,標準紡錘型,2,待補魚名105,待補魚名105,105_hk-oilfish-local-badge.png
17,106,其他魚類,標準紡錘型,2,待補魚名106,連米,106_hk-ponyfishes-linmai-local-badge.png
18,107,其他魚類,標準紡錘型,2,待補魚名107,待補魚名107,107_hk-peanut-fish-local-badge.png
19,108,其他魚類,標準紡錘型,2,待補魚名108,待補魚名108,108_hk-gizzard-shad-local-badge.png
20,110,其他魚類,標準紡錘型,2,待補魚名110,待補魚名110,110_hk-three-whisker-fish-local-badge.png
21,116,其他魚類,標準紡錘型,2,待補魚名116,待補魚名116,116_hk-biting-blenny-local-badge.png
22,118,其他魚類,標準紡錘型,2,待補魚名118,待補魚名118,118_hk-triangle-fish-local-badge.png
23,119,其他魚類,標準紡錘型,2,待補魚名119,待補魚名119,119_hk-dragon-boat-fish-local-badge.png
24,120,其他魚類,標準紡錘型,2,待補魚名120,待補魚名120,120_hk-yellowtail-fusilier-local-badge.png
25,12,其他魚類,標準紡錘型,2,斑點,斑點,012_hk-spotted-scat.png
26,94,其他魚類,標準紡錘型,2,斑點石鱸,斑點石鱸,094_hk-spotted-sweetlips-local-badge.png
27,97,其他魚類,標準紡錘型,2,斑點鱚魚,斑點鱚魚,097_hk-spotted-sillago-local-badge.png
28,65,其他魚類,標準紡錘型,2,梭子魚,梭子魚,065_hk-barracuda-local-badge.png
29,64,其他魚類,標準紡錘型,2,沙甸魚,沙甸魚,064_hk-sardinella-local-badge.png
30,45,其他魚類,標準紡錘型,2,白斑點鯊,白斑點鯊,045_hk-white-spotted-bamboo-shark.png
31,114,其他魚類,標準紡錘型,2,白隆頭魚,白隆頭魚,114_hk-white-head-wrasse-local-badge.png
32,61,其他魚類,標準紡錘型,2,石首魚,石首魚,061_hk-small-banded-grunter-local-badge.png
33,59,其他魚類,標準紡錘型,2,羊魚,羊魚,059_hk-goatfish-local-badge.png
34,99,其他魚類,標準紡錘型,2,羊魚,待補俗名,099_hk-goatfish-wrasp-local-badge.png
35,16,其他魚類,標準紡錘型,2,金目鱸,金目鱸,016_hk-barramundi.png
36,62,其他魚類,標準紡錘型,2,銀,銀,062_hk-silver-biddy-local-badge.png
37,115,其他魚類,標準紡錘型,2,銀銀鯡,銀銀鯡,115_hk-silver-mojarra-local-badge.png
38,70,其他魚類,標準紡錘型,2,銀鯡,銀鯡,070_hk-mojarra-local-badge.png
39,39,其他魚類,標準紡錘型,2,銀鯧,銀鯧,039_hk-silver-pomfret.png
40,58,其他魚類,標準紡錘型,2,銀鱚魚,銀鱚魚,058_hk-silver-sillago-local-badge.png
41,56,其他魚類,標準紡錘型,2,隆頭魚,隆頭魚,056_hk-egg-wrasse-local-badge.png
42,57,其他魚類,標準紡錘型,2,隆頭魚,隆頭魚,057_hk-mouse-wrasse-local-badge.png
43,117,其他魚類,標準紡錘型,2,隆頭魚,隆頭魚,117_hk-green-wrasse-local-badge.png
44,17,其他魚類,標準紡錘型,2,馬友,馬友,017_hk-fourfinger-threadfin.png
45,103,其他魚類,標準紡錘型,2,馬友,馬友,103_hk-french-threadfin-local-badge.png
46,80,其他魚類,標準紡錘型,2,鮣魚,鮣魚,080_hk-remora-local-badge.png
47,111,其他魚類,標準紡錘型,2,鯧,鯧,111_hk-bigeye-pomfret-local-badge.png
48,63,其他魚類,標準紡錘型,2,鯷魚,鯷魚,063_hk-anchovy-local-badge.png
