FisherGO 重新編號魚庫（含本地化俗名）
新數字 | 原數字 | 魚名 | 本地俗名

#001 | #040 | 河豚 | 雞泡
#002 | #044 | 魟魚 | 魔鬼魚
#003 | #118 | 三角魚 | 三角魚
#004 | #110 | 三鬚魚 | 三鬚
#005 | #022 | 九肚魚 | 九肚魚
#006 | #116 | 咬仔鳚 | 狗母鳚
#007 | #017 | 四指馬友 | 馬友
#008 | #020 | 大眼扁頭魚 | 大眼牛鰍
#009 | #018 | 大頭帶魚 | 刀魚
#010 | #026 | 大頭黃姑魚 | 大頭黃花
#011 | #124 | 寶石隆頭魚 | 寶石青衣
#012 | #061 | 小帶紋石首魚 | 花石首
#013 | #098 | 岩魚 | 石狗公仔
#014 | #094 | 斑點石鱸 | 石鱸
#015 | #012 | 斑點金鼓 | 金鼓
#016 | #097 | 斑點鱚 | 花沙鑽
#017 | #088 | 旗魚 | 劍旗魚
#018 | #015 | 日本真鱸 | 海鱸
#019 | #023 | 日本馬頭魚 | 馬頭魚
#020 | #115 | 條紋伏波魚 | 伏波魚
#021 | #065 | 梭子魚 | 梭魚
#022 | #064 | 沙甸魚 | 沙甸
#023 | #105 | 油魚 | 油甘魚
#024 | #070 | 海鯽 | 海鯽
#025 | #049 | 海鱔 | 海鱔
#026 | #047 | 獨角革魨 | 剝皮魚
#027 | #045 | 白點竹鯊 | 狗仔鯊
#028 | #033 | 皇帝魚 | 皇帝魚
#029 | #121 | 短吻飛魚 | 飛魚
#030 | #060 | 石首魚 | 石首
#031 | #035 | 窄帶馬鮫 | 馬鮫
#032 | #083 | 紅魔鬼岩魚 | 紅魔鬼
#033 | #059 | 羊魚 | 鬚鯛
#034 | #099 | 羊魚（鬚） | 鬚羊魚
#035 | #107 | 花生魚 | 花生魚
#036 | #036 | 花鰹 | 花煙
#037 | #056 | 蛋斑隆頭魚 | 青衣
#038 | #100 | 角聲魚 | 角聲
#039 | #010 | 豹紋珊瑚鱸 | 東星斑
#040 | #106 | 連米銀腹魚 | 連米魚
#041 | #027 | 里夫黃姑魚 | 花黃姑
#042 | #016 | 金目鱸 | 金目鱸
#043 | #024 | 金線馬頭魚 | 紅衫馬頭
#044 | #062 | 銀鯡 | 鯡魚
#045 | #039 | 銀鯧 | 白鯧
#046 | #058 | 銀鱚 | 沙鑽
#047 | #103 | 青鱗小沙丁 | 青鱗沙甸
#048 | #019 | 髭尾扁頭魚 | 牛鰍魚
#049 | #080 | 鮣魚 | 貼魚
#050 | #063 | 鯷魚 | 鯷仔
#051 | #108 | 鰶魚 | 鰶魚
#052 | #025 | 黃姑魚 | 黃花魚
#053 | #090 | 黃甲魚 | 黃甲
#054 | #102 | 黑帶金鼓 | 黑帶金鼓
#055 | #109 | 黑邊銀鯽 | 黑邊銀鯽
#056 | #038 | 黑鯧 | 黑鯧
#057 | #057 | 鼠尾隆頭魚 | 老鼠斑衣
#058 | #119 | 龍舟魚 | 龍舟
#059 | #067 | 半嘴魚 | 半嘴
#060 | #066 | 針魚 | 針魚
#061 | #122 | 青針魚 | 青針
#062 | #048 | 比目魚 | 左口魚
#063 | #069 | 海鯰 | 海塘蝨
#064 | #014 | 大鱗烏頭 | 大眼烏頭
#065 | #072 | 彈塗魚 | 彈塗
#066 | #013 | 灰烏頭 | 烏頭
#067 | #021 | 狗母魚 | 狗母
#068 | #123 | 花狗母魚 | 花狗母
#069 | #071 | 鰕虎魚 | 狗公魚
#070 | #068 | 鰻尾鯰 | 海塘蝨
#071 | #050 | 康吉鰻 | 星鰻
