new_id,old_id,fish_type,body_shape,rarity,fish_name,local_name,rep_file
1,40,其他魚類,圓筒型,4,河豚,河豚,040_hk-pufferfish.png
2,44,其他魚類,扁平型,2,魟魚,魟魚,044_hk-stingray.png
3,118,其他魚類,標準紡錘型,2,三角魚,三角魚,118_hk-triangle-fish-local-badge.png
4,110,其他魚類,標準紡錘型,2,三鬚魚,三鬚魚,110_hk-three-whisker-fish-local-badge.png
5,22,其他魚類,標準紡錘型,2,九肚魚,九肚魚,022_hk-bombay-duck.png
6,116,其他魚類,標準紡錘型,2,咬仔鳚,咬仔鳚,116_hk-biting-blenny-local-badge.png
7,17,其他魚類,標準紡錘型,2,四指馬友,四指馬友,017_hk-fourfinger-threadfin.png
8,20,其他魚類,標準紡錘型,2,大眼扁頭魚,大眼扁頭魚,020_hk-bigeye-flathead.png
9,18,其他魚類,標準紡錘型,2,大頭帶魚,大頭帶魚,018_hk-largehead-hairtail.png
10,26,其他魚類,標準紡錘型,2,大頭黃姑魚,大頭黃姑魚,026_hk-big-head-croaker.png
11,124,其他魚類,標準紡錘型,2,寶石隆頭魚,寶石隆頭魚,124_hk-daggertooth-pike-conger-local-badge.png
12,61,其他魚類,標準紡錘型,2,小帶紋石首魚,小帶紋石首魚,061_hk-small-banded-grunter-local-badge.png
13,98,其他魚類,標準紡錘型,2,岩魚,岩魚,098_hk-rockfish-local-badge.png
14,94,其他魚類,標準紡錘型,2,斑點石鱸,斑點石鱸,094_hk-spotted-sweetlips-local-badge.png
15,12,其他魚類,標準紡錘型,2,斑點金鼓,斑點金鼓,012_hk-spotted-scat.png
16,97,其他魚類,標準紡錘型,2,斑點鱚,斑點鱚,097_hk-spotted-sillago-local-badge.png
17,88,其他魚類,標準紡錘型,2,旗魚,旗魚,088_hk-flagfish-local-badge.png
18,15,其他魚類,標準紡錘型,2,日本真鱸,日本真鱸,015_hk-japanese-seabass.png
19,23,其他魚類,標準紡錘型,2,日本馬頭魚,日本馬頭魚,023_hk-japanese-threadfin-bream.png
20,115,其他魚類,標準紡錘型,2,條紋伏波魚,條紋伏波魚,115_hk-silver-mojarra-local-badge.png
21,65,其他魚類,標準紡錘型,2,梭子魚,梭子魚,065_hk-barracuda-local-badge.png
22,64,其他魚類,標準紡錘型,2,沙甸魚,沙甸魚,064_hk-sardinella-local-badge.png
23,105,其他魚類,標準紡錘型,2,油魚,油魚,105_hk-oilfish-local-badge.png
24,70,其他魚類,標準紡錘型,2,海鯽,海鯽,070_hk-mojarra-local-badge.png
25,49,其他魚類,標準紡錘型,2,海鱔,海鱔,049_hk-moray-eel.png
26,47,其他魚類,標準紡錘型,2,獨角革魨,獨角革魨,047_hk-unicorn-leatherjacket.png
27,45,其他魚類,標準紡錘型,2,白點竹鯊,白點竹鯊,045_hk-white-spotted-bamboo-shark.png
28,33,其他魚類,標準紡錘型,2,皇帝魚,皇帝魚,033_hk-queenfish.png
29,121,其他魚類,標準紡錘型,2,短吻飛魚,短吻飛魚,121_hk-small-scad-subadult-local-badge.png
30,60,其他魚類,標準紡錘型,2,石首魚,石首魚,060_hk-grunt-local-badge.png
31,35,其他魚類,標準紡錘型,2,窄帶馬鮫,窄帶馬鮫,035_hk-narrow-barred-spanish-mackerel.png
32,83,其他魚類,標準紡錘型,2,紅魔鬼岩魚,紅魔鬼岩魚,083_hk-red-devil-rockfish-local-badge.png
33,59,其他魚類,標準紡錘型,2,羊魚,羊魚,059_hk-goatfish-local-badge.png
34,99,其他魚類,標準紡錘型,2,羊魚（鬚）,羊魚（鬚）,099_hk-goatfish-wrasp-local-badge.png
35,107,其他魚類,標準紡錘型,2,花生魚,花生魚,107_hk-peanut-fish-local-badge.png
36,36,其他魚類,標準紡錘型,2,花鰹,花鰹,036_hk-kawakawa.png
37,56,其他魚類,標準紡錘型,2,蛋斑隆頭魚,蛋斑隆頭魚,056_hk-egg-wrasse-local-badge.png
38,100,其他魚類,標準紡錘型,2,角聲魚,角聲魚,100_hk-croaker-gwak-local-badge.png
39,10,其他魚類,標準紡錘型,2,豹紋珊瑚鱸,豹紋珊瑚鱸,010_hk-leopard-coral-grouper.png
40,106,其他魚類,標準紡錘型,2,連米銀腹魚,連米銀腹魚,106_hk-ponyfishes-linmai-local-badge.png
41,27,其他魚類,標準紡錘型,2,里夫黃姑魚,里夫黃姑魚,027_hk-reeves-croaker.png
42,16,其他魚類,標準紡錘型,2,金目鱸,金目鱸,016_hk-barramundi.png
43,24,其他魚類,標準紡錘型,2,金線馬頭魚,金線馬頭魚,024_hk-golden-threadfin-bream.png
44,62,其他魚類,標準紡錘型,2,銀鯡,銀鯡,062_hk-silver-biddy-local-badge.png
45,39,其他魚類,標準紡錘型,2,銀鯧,銀鯧,039_hk-silver-pomfret.png
46,58,其他魚類,標準紡錘型,2,銀鱚,銀鱚,058_hk-silver-sillago-local-badge.png
