new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,imageUrl,icon_abs,photo_url,photo_source,matched_title_or_taxon,source_page,confidence,photo_status,photo_abs
001,河豚,雞泡,Diodon holocanthus,其他魚類,圓筒型,4,assets/fish/icons/generated/001.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\001.png,https://inaturalist-open-data.s3.amazonaws.com/photos/6493337/large.jpg,iNaturalist,Diodon holocanthus,taxon_id=49269,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-001.jpg
002,魟魚,魔鬼魚,Hypanus americanus,其他魚類,扁平型,2,assets/fish/icons/generated/002.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\002.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5856356/large.jpg,iNaturalist,Hypanus americanus,taxon_id=623850,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-002.jpg
003,三角魚,三角魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/003.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\003.png,,,,,not_found,missing,
004,三鬚魚,三鬚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/004.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\004.png,,,,,not_found,missing,
005,九肚魚,九肚魚,Harpadon nehereus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/005.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\005.png,https://static.inaturalist.org/photos/22207916/large.jpeg,iNaturalist,Harpadon nehereus,taxon_id=512127,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-005.jpg
006,咬仔鳚,狗母鳚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/006.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\006.png,https://upload.wikimedia.org/wikipedia/commons/7/77/StegastApicalAnneHoggett.jpg,Wikipedia-zh,尖椒雀鯛,https://zh.wikipedia.org/wiki/%E5%B0%96%E6%A4%92%E9%9B%80%E9%AF%9B,medium,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-006.jpg
007,四指馬友,馬友,Eleutheronema tetradactylum,其他魚類,標準紡錘型,2,assets/fish/icons/generated/007.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\007.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5002958/large.jpg,iNaturalist,Eleutheronema tetradactylum,taxon_id=333753,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-007.jpg
008,大眼扁頭魚,大眼牛鰍,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/008.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\008.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Priacanthus_macracanthus.jpg/1280px-Priacanthus_macracanthus.jpg,Wikipedia-zh,大眼鯛,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%9C%BC%E9%AF%9B,medium,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-008.jpg
009,大頭帶魚,刀魚,Trichiurus lepturus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/009.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\009.png,https://static.inaturalist.org/photos/181477483/large.jpg,iNaturalist,Trichiurus lepturus,taxon_id=51404,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-009.jpg
010,大頭黃姑魚,大頭黃花,Pennahia macrocephala,其他魚類,標準紡錘型,2,assets/fish/icons/generated/010.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\010.png,https://inaturalist-open-data.s3.amazonaws.com/photos/167191195/large.jpeg,iNaturalist,Pennahia macrocephala,taxon_id=1556598,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-010.jpg
011,寶石隆頭魚,寶石青衣,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/011.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\011.png,,,,,not_found,missing,
012,小帶紋石首魚,花石首,Terapon puta,其他魚類,標準紡錘型,2,assets/fish/icons/generated/012.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\012.png,https://inaturalist-open-data.s3.amazonaws.com/photos/162032088/large.jpeg,iNaturalist,Terapon puta,taxon_id=531030,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-012.jpg
013,岩魚,石狗公仔,Sebastes caurinus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/013.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\013.png,https://inaturalist-open-data.s3.amazonaws.com/photos/117750791/large.jpg,iNaturalist,Sebastes caurinus,taxon_id=68597,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-013.jpg
014,斑點石鱸,石鱸,Plectorhinchus flavomaculatus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/014.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\014.png,https://static.inaturalist.org/photos/241195181/large.jpg,iNaturalist,Plectorhinchus flavomaculatus,taxon_id=341862,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-014.jpg
015,斑點金鼓,金鼓,Scatophagus argus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/015.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\015.png,https://inaturalist-open-data.s3.amazonaws.com/photos/171540853/large.jpeg,iNaturalist,Scatophagus argus,taxon_id=112173,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-015.jpg
016,斑點鱚,花沙鑽,Sillaginodes punctatus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/016.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\016.png,https://inaturalist-open-data.s3.amazonaws.com/photos/559797868/large.jpg,iNaturalist,Sillaginodes punctatus,taxon_id=321999,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-016.jpg
017,旗魚,劍旗魚,Jordanella floridae,其他魚類,標準紡錘型,2,assets/fish/icons/generated/017.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\017.png,https://static.inaturalist.org/photos/39869434/large.jpg,iNaturalist,Jordanella floridae,taxon_id=103632,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-017.jpg
018,日本真鱸,海鱸,Lateolabrax japonicus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/018.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\018.png,https://static.inaturalist.org/photos/61342151/large.jpg,iNaturalist,Lateolabrax japonicus,taxon_id=194678,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-018.jpg
019,日本馬頭魚,馬頭魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/019.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\019.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Pagrus_major_Red_seabream_ja01.jpg/1280px-Pagrus_major_Red_seabream_ja01.jpg,Wikipedia-zh,真鯛,https://zh.wikipedia.org/wiki/%E7%9C%9F%E9%AF%9B,medium,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-019.jpg
020,條紋伏波魚,伏波魚,Eucinostomus gula,其他魚類,標準紡錘型,2,assets/fish/icons/generated/020.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\020.png,https://inaturalist-open-data.s3.amazonaws.com/photos/30776419/large.jpg,iNaturalist,Eucinostomus gula,taxon_id=179598,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-020.jpg
021,梭子魚,梭魚,Sphyraena barracuda,其他魚類,標準紡錘型,2,assets/fish/icons/generated/021.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\021.png,https://inaturalist-open-data.s3.amazonaws.com/photos/294595913/large.jpg,iNaturalist,Sphyraena barracuda,taxon_id=47251,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-021.jpg
022,沙甸魚,沙甸,Sardinella aurita,其他魚類,標準紡錘型,2,assets/fish/icons/generated/022.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\022.png,https://static.inaturalist.org/photos/126459849/large.jpeg,iNaturalist,Sardinella aurita,taxon_id=118599,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-022.jpg
023,油魚,油甘魚,Ruvettus pretiosus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/023.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\023.png,https://inaturalist-open-data.s3.amazonaws.com/photos/197034220/large.jpg,iNaturalist,Ruvettus pretiosus,taxon_id=194885,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-023.jpg
024,海鯽,海鯽,Gerres simillimus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/024.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\024.png,https://inaturalist-open-data.s3.amazonaws.com/photos/257533457/large.jpeg,iNaturalist,Gerres simillimus,taxon_id=187420,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-024.jpg
025,海鱔,海鱔,Gymnothorax undulatus,其他魚類,標準紡錘型,2,assets/fish/icons/generated/025.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\025.png,https://inaturalist-open-data.s3.amazonaws.com/photos/112702429/large.jpg,iNaturalist,Gymnothorax undulatus,taxon_id=52399,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-025.jpg
026,獨角革魨,剝皮魚,Aluterus monoceros,其他魚類,標準紡錘型,2,assets/fish/icons/generated/026.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\026.png,https://inaturalist-open-data.s3.amazonaws.com/photos/4614108/large.jpeg,iNaturalist,Aluterus monoceros,taxon_id=194921,high,downloaded,C:\Users\s0829\fishergo\data\fish_audit6_full_rebuild\photo_cache\fish-026.jpg
